0.1	6.585383532368268e6	6.585589730735996e6
0.11	4.931886688265665e6	4.932091912960251e6
0.12000000000000001	3.7872350150062903e6	3.7874393006124184e6
0.13	2.969941258238524e6	2.970144625933325e6
0.14	2.3709655221233903e6	2.3711679846455366e6
0.15000000000000002	1.922096921082484e6	1.9222984858275184e6
0.16	1.5791738913894622e6	1.5793745623817458e6
0.17	1.3127456953572521e6	1.312945474527967e6
0.18	1.1026588798447526e6	1.1028577678704183e6
0.19	934806.0022687349	935003.9991255738
0.2	799111.4846297015	799308.5899611082
0.21000000000000002	688176.0398572341	688372.232358829
0.22	596705.8206337005	596901.1089207928
0.23	520621.3452590515	520815.735835174
0.24000000000000002	456827.00602894987	457020.50382052554
0.25	402944.99919884594	403137.6079603723
0.26	357128.42428904126	357320.14691183454
0.27	317928.00158571574	318118.84033417085
0.28	284195.70220536797	284385.6588982994
0.29000000000000004	255014.1748865476	255203.25103662114
0.30000000000000004	229644.45265581371	229832.6495767953
0.31	207486.7799099124	207674.09879906836
0.32	188050.96932147903	188237.41132269875
0.33	170933.7575574807	171119.32380938457
0.33999999999999997	155801.35428359872	155986.04595591404
0.35	142375.88203517918	142559.7003559257
0.36	130424.75761188348	130607.70388734719
0.37	119752.31621935988	119934.39184840288
0.38	110193.15927093687	110374.36575485887
0.39	101606.83689868382	101787.1758475932
0.4	93873.57134962996	94053.04448608244
0.41000000000000003	86890.79758906804	87069.4067495736
0.42000000000000004	80570.34958811794	80748.09672299374
0.43000000000000005	74836.15985615841	75013.04702810792
0.44000000000000006	69622.36928477224	69798.39866649361
0.45000000000000007	64871.766802987346	65046.940674052814
0.45999999999999996	60534.49551392256	60708.81625712185
0.47	56566.97520921193	56740.44530651327
0.48	52931.00140784138	53103.62343609261
0.49	49592.9890561182	49764.765682585195
0.5	46523.33528836534	46694.26926618469
0.51	43871.62243368656	44042.400704414824
0.52	41413.71408208575	41584.31536131173
0.53	39132.34640269734	39302.75052227144
0.54	37012.06472992028	37182.252574019425
0.55	35039.00619363943	35208.95963926492
0.56	33200.7117161234	33370.41357766321
0.5700000000000001	31485.96298140558	31655.396958928322
0.58	29884.640702510376	30053.791333490328
0.59	28387.60110365853	28556.453717859367
0.6	26986.56802316946	27155.108700439643
0.61	25674.038447334136	25842.25397808954
0.62	24443.199621766937	24611.07746995669
0.63	23287.85616685469	23455.38443522402
0.64	22202.365858285917	22369.53325576641
0.65	21181.58292996722	21348.378741039443
0.66	20220.807921824082	20387.221977710633
0.67	19315.743234215737	19481.765885774887
0.6799999999999999	18462.45366840579	18628.075760606473
0.69	17657.33133229428	17822.544180163084
0.7	16897.064375384307	17061.859741323842
0.71	16178.609089150053	16342.979161536126
0.72	15499.16497060728	15663.10234357966
0.73	14856.152399622813	15019.65005399084
0.74	14247.192625722726	14410.243910913216
0.75	13670.089799023093	13832.68841600342
0.76	13122.814813373892	13284.954798488156
0.77	12603.490758688255	12765.166468349049
0.78	12110.37980439948	12271.585900582013
0.79	11641.87135761876	11802.602794107905
0.8	11196.471358341847	11356.723367686218
0.8099999999999999	10772.792590375675	10932.560671506135
0.82	10369.545900875022	10528.825807347946
0.83	9985.532233784592	10144.319962612995
0.84	9619.635393325556	9777.927174363715
0.85	9270.815463157242	9428.607749006751
0.86	8938.10281516856	9095.392271575958
0.87	8620.592649163056	8777.376145881082
0.88	8317.44001113063	8473.714613217055
0.89	8027.855243462987	8183.618202992647
0.9	7751.099825465209	7906.348573632412
0.91	7486.482566929438	7641.21470651942
0.92	7233.356121441497	7387.569419650921
0.93	6991.11378954907	7144.806171136797
0.94	6759.186584988673	6912.3561257392485
0.95	6537.0405398932135	6689.685460376551
0.96	6324.174227324583	6476.2928869363395
0.97	6120.1164816342525	6271.707372902343
0.98	5924.424299077402	6075.486042220949
0.99	5736.680902823509	5887.212240551347
1.	5556.49395804021	5706.493750576822
1.01	5383.493924099632	5532.961144427094
1.02	5217.33253218584	5366.266261491017
1.03	5057.681377683745	5206.080801000597
1.04	4904.230617719454	5052.09501975687
1.05	4756.687765110314	4904.016526256469
1.06	4614.776570783136	4761.569163277818
1.07	4478.235987437598	4624.4919717044795
1.08	4346.819207881929	4492.538229013152
1.09	4220.292772051981	4365.474556437866
1.1	4098.435737253835	4243.08008935092
1.11	3981.0389066474804	4125.145705878433
1.12	3867.904111421318	4011.4733092006268
1.1300000000000001	3758.8435424979934	3901.875159377676
1.1400000000000001	3653.67912796741	3796.173250897248
1.1500000000000001	3552.2419527634875	3694.1987324606143
1.1600000000000001	3454.371717393933	3595.7913658168445
1.1700000000000002	3359.9162327971917	3500.799020719525
1.1800000000000002	3268.730948641478	3409.077203321102
1.1900000000000002	3180.678512604523	3320.488615543857
1.2000000000000002	3095.6283583587283	3234.9027431519935
1.2100000000000002	3013.4563201961	3152.1954704601144
1.2200000000000002	2934.044272359548	3072.248719744157
1.2300000000000002	2857.2797913261415	2994.95011360097
1.2400000000000002	2783.0558394130453	2920.1926586272934
1.2500000000000002	2711.2704682071803	2847.8744489193455
1.26	2641.8265404382964	2777.8983880129767
1.27	2574.6314690100967	2710.17192797877
1.28	2509.5969720242697	2644.60682450777
1.29	2446.638842692786	2581.1189068826275
1.3	2385.6767331389915	2519.627861835241
1.31	2326.633951148858	2460.057030352101
1.32	2269.43726901663	2402.33321657213
1.33	2214.016743670636	2346.3865079621587
1.34	2160.305547350583	2292.1501060421847
1.35	2108.2398081396636	2239.5601669634075
1.36	2057.758459715015	2188.5556513027855
1.37	2008.8030997230155	2139.0781824807023
