1.e-7	6.868246847831069e-12	2.425604218708092e-12	1.667471089385869e-12	1.6675233004401189e-12
1.0232929922807536e-7	6.4117854345978876e-12	2.326165336994788e-12	1.5942244252174095e-12	1.5942778937965519e-12
1.0471285480508985e-7	5.98570243936362e-12	2.229324520680933e-12	1.5231043429650435e-12	1.5231590597044068e-12
1.0715193052376071e-7	5.58797421285213e-12	2.135134897601832e-12	1.4541353090613928e-12	1.4541912632994254e-12
1.0964781961431852e-7	5.216711996567442e-12	2.043634857810814e-12	1.387331733791795e-12	1.3873889135420551e-12
1.122018454301963e-7	4.870152927475175e-12	1.9548495641725976e-12	1.3226990434189632e-12	1.322757435345337e-12
1.1481536214968817e-7	4.54665164272035e-12	1.868792337900569e-12	1.2602346622201872e-12	1.2602942516158688e-12
1.1748975549395303e-7	4.244672444347504e-12	1.7854659284873706e-12	1.1999289112951348e-12	1.1999896820659436e-12
1.2022644346174132e-7	3.9627819866613145e-12	1.7048636767978332e-12	1.1417658305064286e-12	1.141827765159104e-12
1.2302687708123812e-7	3.699642451358197e-12	1.626970579460142e-12	1.085723929453818e-12	1.085787009089988e-12
1.2589254117941662e-7	3.4540051778870055e-12	1.5517642621028625e-12	1.0317768729542009e-12	1.0318410772707913e-12
1.2882495516931348e-7	3.224704718667423e-12	1.4792158684379785e-12	9.798941061009553e-13	9.799594133978816e-13
1.3182567385564074e-7	3.0106532908218614e-12	1.4092908716815954e-12	9.300414236057519e-13	9.301078108018058e-13
1.3489628825916533e-7	2.810835597967376e-12	1.3419498143308831e-12	8.821814877815614e-13	8.822489304395001e-13
1.380384264602884e-7	2.6243039973798763e-12	1.2771489818765175e-12	8.362742992057912e-13	8.363427715677219e-13
1.4125375446227555e-7	2.4501739894895395e-12	1.2148410156211823e-12	7.922776238050559e-13	7.923470988393119e-13
1.445439770745928e-7	2.2876200082041695e-12	1.154975469395244e-12	7.501473798269995e-13	7.5021782928781e-13
1.479108388168207e-7	2.1358714919916125e-12	1.0974993146078722e-12	7.098379879079362e-13	7.099093824093106e-13
1.5135612484362072e-7	1.9942092169918987e-12	1.0423573977443887e-12	6.713026872069149e-13	6.713749963122871e-13
1.5488166189124826e-7	1.861961874678907e-12	9.894928541160494e-13	6.34493820355378e-13	6.345670126846937e-13
1.584893192461114e-7	1.7385028777580667e-12	9.388474813859054e-13	5.993630897662075e-13	5.994371331222828e-13
1.6218100973589298e-7	1.6232473790747025e-12	8.903608322260643e-13	5.659176751529688e-13	5.659925440628275e-13
1.6595869074375596e-7	1.515649489323885e-12	8.439744043279186e-13	5.340457825692615e-13	5.341214437251377e-13
1.6982436524617461e-7	1.415199680300283e-12	7.996279273794204e-13	5.036958473513531e-13	5.037722666448945e-13
1.7378008287493765e-7	1.321422361311606e-12	7.572609384372262e-13	4.748168304658865e-13	4.748939731428789e-13
1.7782794100389227e-7	1.2338736172046917e-12	7.168129994401155e-13	4.473583270257074e-13	4.474361578649651e-13
1.8197008586099824e-7	1.152139097224272e-12	6.782238906731101e-13	4.212706608358865e-13	4.2134914435471586e-13
1.8620871366628656e-7	1.0758320446433642e-12	6.414337822241539e-13	3.965049662114943e-13	3.9658406690034195e-13
1.9054607179632483e-7	1.0045914577756307e-12	6.063833853191693e-13	3.7301325821181317e-13	3.730929408009307e-13
1.9498445997580455e-7	9.380803736064818e-13	5.730140852765169e-13	3.5074849234584923e-13	3.508287221070435e-13
1.9952623149688787e-7	8.759842658642287e-13	5.412680576875482e-13	3.296646147207584e-13	3.297453578075525e-13
2.0417379446695275e-7	8.180095498984228e-13	5.112168815495233e-13	3.0985071889961957e-13	3.099319779014625e-13
2.0892961308540409e-7	7.638821872415413e-13	4.826600359893014e-13	2.9111197999176917e-13	2.9119372428883735e-13
2.1379620895022324e-7	7.13346383205563e-13	4.555365592356907e-13	2.733992109629095e-13	2.734814097321983e-13
2.187761623949552e-7	6.66163371308408e-13	4.297874813327398e-13	2.566652520661946e-13	2.567478744799179e-13
2.2387211385683377e-7	6.221102787392969e-13	4.053557928602087e-13	2.4086489798714307e-13	2.4094791343800167e-13
2.2908676527677748e-7	5.809790674582602e-13	3.8218641099450555e-13	2.2595482691631247e-13	2.2603820527219763e-13
2.3442288153199228e-7	5.425755458856918e-13	3.6022614330553584e-13	2.1189353155626338e-13	2.1197724344717154e-13
2.39883291901949e-7	5.067184464742231e-13	3.394236496485634e-13	1.9864125206271626e-13	1.987252692028822e-13
2.4547089156850283e-7	4.732385647693697e-13	3.1972940247683846e-13	1.8615991091399314e-13	1.8624420646249437e-13
2.5118864315095823e-7	4.4197795585835455e-13	3.010956458699094e-13	1.7441304969757504e-13	1.7449759866092663e-13
2.570395782768865e-7	4.127891843801446e-13	2.8358362167588016e-13	1.6345986770373021e-13	1.6354469621800447e-13
2.6302679918953816e-7	3.855346245249321e-13	2.670283536807971e-13	1.5316113524506301e-13	1.5324622377827872e-13
2.691534803926914e-7	3.600858066896468e-13	2.5138208172377075e-13	1.4348044826706398e-13	1.4356577733878977e-13
2.754228703338169e-7	3.3632280767833814e-13	2.3659937401667285e-13	1.3438342685678257e-13	1.3446897718619077e-13
2.818382931264455e-7	3.1413368154386227e-13	2.2263701381837157e-13	1.2583760038701428e-13	1.2592335305997088e-13
2.8840315031266057e-7	2.93413928360915e-13	2.0945389170922497e-13	1.1781229937498045e-13	1.1789823603195237e-13
2.951209226666384e-7	2.740659984012882e-13	1.9701090318221693e-13	1.1027855365121716e-13	1.1036465669792443e-13
