% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 8 2016, 11:13
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     8772815.822845837        -5.0427381815492236E11   2.6371264723119573E-17
1.5E-7                    8823124.426442858        -5.0189825378552E11      2.6655134564676103E-17
2.5E-7                    8873195.473602938        -4.995226894161194E11    2.986234349401343E-17
3.5E-7                    8923028.96432608         -4.9714712504672E11      3.0768999129924577E-17
4.5E-7                    8972624.898612281        -4.947715606773176E11    3.165430770930252E-17
5.5E-7                    9021983.276461544        -4.9239599630791943E11   3.443420377804498E-17
6.5E-7                    9071104.097873867        -4.900204319385178E11    3.46086828806506E-17
7.5E-7                    9119987.36284925         -4.876448675691173E11    3.6293009277749617E-17
8.5E-7                    9168633.071387691        -4.852693031997173E11    3.695643630592397E-17
9.5E-7                    9216927.536689844        -4.8151798075297107E11   3.883884635045971E-17
1.05E-6                   9264970.625746679        -4.793438003837677E11    3.9861097930857284E-17
1.15E-6                   9312796.296766594        -4.7716962001456384E11   4.045915017364889E-17
1.25E-6                   9360404.549749592        -4.7499543964536145E11   4.215642501237717E-17
1.3500000000000002E-6     9407795.384695668        -4.7282125927615784E11   4.287425309901716E-17
1.4499999999999999E-6     9454968.801604826        -4.706470789069546E11    4.4224504687541036E-17
1.55E-6                   9501924.800477061        -4.6847289853774976E11   4.469704617063045E-17
1.65E-6                   9548663.381312376        -4.662987181685471E11    4.585829668304257E-17
1.75E-6                   9595184.54411077         -4.6412453779934424E11   4.592257549189055E-17
1.85E-6                   9641488.288872246        -4.619503574301404E11    4.677783466169287E-17
1.95E-6                   9687574.615596797        -4.5977617706093677E11   4.7223285758508693E-17
2.0500000000000003E-6     9733443.52428443         -4.5760199669173267E11   4.750554803451224E-17
2.15E-6                   9779095.014935145        -4.5542781632253E11      4.7546806146697665E-17
2.25E-6                   9824529.087548938        -4.5325363595332666E11   4.7789734946459413E-17
2.35E-6                   9869745.742125811        -4.5107945558412256E11   4.7885220814909626E-17
2.45E-6                   9914744.978665765        -4.4890527521491895E11   4.766890404159691E-17
2.55E-6                   9959526.797168795        -4.467310948457163E11    4.743291669090386E-17
2.65E-6                   1.0004091197634906E7     -4.445569144765122E11    4.7191787051095E-17
2.75E-6                   1.0048438180064097E7     -4.423827341073081E11    4.6949210253650555E-17
2.8500000000000002E-6     1.009256774445637E7      -4.4020855373810693E11   4.670267250490089E-17
2.95E-6                   1.0136479890811717E7     -4.3803437336890137E11   4.6459227633082904E-17
3.0500000000000004E-6     1.0180174619130151E7     -4.358601929996987E11    4.622402693209453E-17
3.15E-6                   1.0223651929411653E7     -4.3368601263049414E11   4.598335459375768E-17
3.25E-6                   1.0266911821656246E7     -4.3151183226129297E11   4.5736614181909306E-17
3.35E-6                   1.0309858754619315E7     -4.2825549624294055E11   4.5492149468866814E-17
3.45E-6                   1.0352565711478863E7     -4.258836409480288E11    4.522749907438919E-17
3.5500000000000003E-6     1.0395035482808912E7     -4.23511785653115E11     4.499820603219407E-17
3.65E-6                   1.0437447393805623E7     -4.277854876699374E11    4.474014800460649E-17
3.75E-6                   1.048012515171732E7      -4.2576967056397327E11   4.4484967021509623E-17
3.85E-6                   1.052260132791842E7      -4.2375385345801416E11   4.423271862995752E-17
3.95E-6                   1.0564993423613617E7     -4.2514624673583203E11   4.39924795177208E-17
4.05E-6                   1.060736458490139E7      -4.2227697901959863E11   4.3748100175372055E-17
4.15E-6                   1.0649448819417534E7     -4.194077113033672E11    4.350274059595285E-17
4.250000000000001E-6      1.0691246127162063E7     -4.165384435871362E11    4.324097740053256E-17
4.35E-6                   1.0732651115952712E7     -4.09919929623208E11     4.29871659386914E-17
4.45E-6                   1.0773530313902935E7     -4.076640293814243E11    4.2754979788250863E-17
4.5500000000000005E-6     1.0814183921828993E7     -4.054081291396428E11    4.2496446552749925E-17
4.6499999999999995E-6     1.0854611939730871E7     -4.0315222889785767E11   4.2250575129647173E-17
4.75E-6                   1.089481436760856E7      -4.008963286560725E11    4.20021745127442E-17
4.85E-6                   1.0934931361937003E7     -4.025348476272976E11    4.1760565464098706E-17
4.950000000000001E-6      1.0975054377656799E7     -3.9992546676869116E11   4.1512482952356175E-17
5.05E-6                   1.101491645529074E7      -3.973160859100869E11    4.125704949079408E-17
5.15E-6                   1.1054517594838815E7     -3.947067050514822E11    4.1007837992405554E-17
5.2500000000000006E-6     1.1093857796301037E7     -3.9209732419287744E11   4.0765643528633066E-17
5.35E-6                   1.1132937059677394E7     -3.8948794333427344E11   4.0532112304074775E-17
5.45E-6                   1.1171755384967891E7     -3.8687856247566846E11   4.02838051377732E-17
5.55E-6                   1.1210312772172527E7     -3.842691816170636E11    4.005110176840163E-17
5.65E-6                   1.1248609221291304E7     -3.816598007584591E11    3.9809627866397257E-17
5.75E-6                   1.128664473232422E7      -3.790504198998529E11    3.9572570877189495E-17
5.85E-6                   1.1324419305271272E7     -3.7644103904124744E11   3.933638905162445E-17
5.950000000000001E-6      1.1361932940132467E7     -3.7383165818264307E11   3.909851824464573E-17
6.05E-6                   1.1399185636907805E7     -3.7122227732403845E11   3.8856854764116535E-17
6.15E-6                   1.143617739559728E7      -3.686128964654323E11    3.8623435262988486E-17
6.25E-6                   1.147290821620089E7      -3.66003515606828E11     3.838733327043874E-17
6.35E-6                   1.1509378098718647E7     -3.63394134748223E11     3.814900374856464E-17
6.45E-6                   1.1545587043150535E7     -3.6078475388961804E11   3.791466138442215E-17
6.550000000000001E-6      1.1581535049496569E7     -3.581753730310144E11    3.768878017062176E-17
6.65E-6                   1.1617222117756736E7     -3.555659921724087E11    3.7465487567671127E-17
6.75E-6                   1.165264824793105E7      -3.5295661131380347E11   3.7245367788479004E-17
6.8500000000000005E-6     1.1687813440019496E7     -3.5034723045519824E11   3.7026516824254716E-17
6.9499999999999995E-6     1.1722717694022093E7     -3.4773784959659393E11   3.681052963191033E-17
7.05E-6                   1.1757358614254555E7     -3.45059824716551E11     3.659403594654084E-17
