% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 7 2016, 15:48
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rho * beta * hbar_const * c_const / m) (J/m)
1.2149999999999999E-5     44728.13636137352        -2.457213513902686E9     1.0864389386131395E-29
1.2250000000000001E-5     44973.22768973204        -2.4446130532677407E9    1.0808648497196241E-29
1.235E-5                  45217.05897202708        -2.4320125926327953E9    1.0753110429624658E-29
1.245E-5                  45459.630208258604       -2.4194121319978514E9    1.0701180499870758E-29
1.255E-5                  45700.94139842666        -2.4068116713629084E9    1.0646831664904526E-29
1.2650000000000001E-5     45940.9925425312         -2.3942112107279663E9    1.0594921015119722E-29
1.275E-5                  46179.783640572234       -2.3816107500930157E9    1.054561183225715E-29
1.285E-5                  46417.314692549815       -2.3690102894580755E9    1.0495125088978763E-29
1.295E-5                  46653.58569846384        -2.3564098288231306E9    1.0441812219420546E-29
1.305E-5                  46883.53950770947        -2.287795284232351E9     1.0394759498349401E-29
1.3150000000000001E-5     47111.98053782452        -2.2810253180689435E9    1.0348045892279447E-29
1.325E-5                  47339.74457132327        -2.274255351905533E9     1.02981820753368E-29
1.3350000000000001E-5     47566.831608205655       -2.267485385742123E9     1.0251034602941645E-29
1.345E-5                  47793.24164847168        -2.2607154195787177E9    1.0208510849092284E-29
1.3549999999999999E-5     48018.97469212138        -2.253945453415308E9     1.0162327733964686E-29
1.3650000000000001E-5     48244.030739154754       -2.2471754872519007E9    1.0117583550307248E-29
1.375E-5                  48468.40978957177        -2.2404055210884914E9    1.0074087037714459E-29
1.385E-5                  48692.11184337245        -2.2336355549250827E9    1.0032196829077324E-29
1.395E-5                  48915.136900556776       -2.2268655887616744E9    9.990831658387939E-30
1.4050000000000001E-5     49137.48496112479        -2.2200956225982656E9    9.949479073344566E-30
1.415E-5                  49359.15602507645        -2.213325656434859E9     9.909767876558905E-30
1.425E-5                  49580.15009241175        -2.206555690271452E9     9.8710907525741E-30
1.435E-5                  49800.467163130736       -2.199785724108046E9     9.832341804211011E-30
1.4449999999999999E-5     50020.107237233366       -2.1930157579446335E9    9.795703391251726E-30
1.4550000000000001E-5     50239.070314719655       -2.186245791781229E9     9.757580046073731E-30
1.465E-5                  50457.3563955896         -2.179475825617817E9     9.722152363937664E-30
1.475E-5                  50674.96547984321        -2.172705859454409E9     9.686860089873405E-30
1.485E-5                  50891.89756748049        -2.165935893291003E9     9.65213419404613E-30
1.4950000000000001E-5     51108.15265850142        -2.1591659271275935E9    9.618581313499284E-30
1.505E-5                  51323.730752906005       -2.152395960964186E9     9.585846790944188E-30
1.515E-5                  51538.63185069426        -2.145625994800777E9     9.554070803004538E-30
1.525E-5                  51752.85595186617        -2.1388560286373696E9    9.521744023061946E-30
1.535E-5                  51966.40305642175        -2.1320860624739637E9    9.491331135968889E-30
1.545E-5                  52179.27316436096        -2.1253160963105521E9    9.461805965025013E-30
1.555E-5                  52391.46627568384        -2.118546130147143E9     9.432334996156776E-30
1.565E-5                  52602.98239039038        -2.1117761639837375E9    9.402713626877322E-30
1.575E-5                  52813.82150848056        -2.1050061978203282E9    9.373135037430811E-30
1.585E-5                  53023.98362995443        -2.0982362316569195E9    9.343595110110887E-30
1.5949999999999998E-5     53233.468754811955       -2.0914662654935136E9    9.314155381701687E-30
1.6049999999999997E-5     53442.27688305314        -2.0846962993301067E9    9.284616364105976E-30
1.6150000000000003E-5     53650.40801467802        -2.0779263331666946E9    9.255277458270436E-30
1.6250000000000002E-5     53857.738555210904       -2.0683559198919258E9    9.225782754728347E-30
1.635E-5                  54064.25946338779        -2.0620622436458156E9    9.196285160419828E-30
1.645E-5                  54270.15100394007        -2.055768567399707E9     9.16702860944733E-30
1.655E-5                  54475.41317686774        -2.0494748911535974E9    9.13759285495641E-30
1.665E-5                  54680.0459821708         -2.0431812149074848E9    9.108152463710157E-30
1.675E-5                  54884.04941984924        -2.036887538661377E9     9.078699528550228E-30
1.685E-5                  55087.42348990307        -2.030593862415265E9     9.049337785125875E-30
1.695E-5                  55290.16819233228        -2.024300186169157E9     9.019999402395856E-30
1.705E-5                  55492.28352713691        -2.0180065099230475E9    8.990704362444393E-30
1.715E-5                  55693.769494316904       -2.011712833676937E9     8.961393408669618E-30
1.7250000000000003E-5     55894.626093872284       -2.0054191574308257E9    8.931979255364501E-30
1.735E-5                  56094.85332580306        -1.9991254811847205E9    8.902598573712966E-30
1.745E-5                  56294.45119010923        -1.99283180493861E9      8.873358577602419E-30
1.755E-5                  56493.41968679079        -1.9865381286924984E9    8.84414844358725E-30
1.765E-5                  56691.758815847716       -1.980244452446389E9     8.814902843108637E-30
1.7749999999999998E-5     56889.46857728006        -1.9739507762002754E9    8.785654229441684E-30
1.785E-5                  57086.54897108778        -1.9676570999541686E9    8.75637839641063E-30
1.7950000000000003E-5     57282.999997270905       -1.9613634237080557E9    8.727057749276579E-30
1.805E-5                  57478.8216558294         -1.9550697474619467E9    8.697795496347536E-30
1.815E-5                  57674.01394676329        -1.9487760712158425E9    8.668522425535306E-30
1.825E-5                  57868.57687007255        -1.9424823949697304E9    8.639254322419047E-30
1.8350000000000002E-5     58062.51042575723        -1.9361887187236195E9    8.609909383537372E-30
1.845E-5                  58255.81461381728        -1.929895042477508E9     8.580694540141566E-30
1.855E-5                  58448.48943425274        -1.9236013662314003E9    8.551428654120939E-30
1.865E-5                  58640.534887063564       -1.917307689985287E9     8.522067946144869E-30
1.875E-5                  58831.9509722498         -1.9110140137391808E9    8.492708660356754E-30
1.8849999999999997E-5     59022.73768981139        -1.9047203374930727E9    8.463302882749474E-30
1.8950000000000003E-5     59212.895039748415       -1.898426661246961E9     8.433937850665073E-30
1.9050000000000002E-5     59402.42302206079        -1.892132985000849E9     8.404429234853654E-30
1.915E-5                  59591.32163674857        -1.8858393087547417E9    8.37494300771161E-30
1.925E-5                  59779.59088381174        -1.8795456325086284E9    8.345467915647505E-30
1.935E-5                  59967.230763250314       -1.8732519562625222E9    8.315935466816533E-30
1.945E-5                  60154.24127506424        -1.8669582800164123E9    8.286340289162511E-30
1.955E-5                  60340.62241925359        -1.8606646037703044E9    8.256784564954003E-30
1.965E-5                  60526.3741958183         -1.8543709275241904E9    8.227135104750641E-30
1.975E-5                  60711.496604758424       -1.8480772512780838E9    8.197388033844963E-30
1.985E-5                  60895.98964607393        -1.8417835750319712E9    8.16754024836713E-30
1.995E-5                  61079.85331976481        -1.8354898987858644E9    8.138224107085044E-30
2.005E-5                  61263.08762583109        -1.8291962225397513E9    8.111511643850255E-30
2.0150000000000002E-5     61445.69256427279        -1.8229025462936406E9    8.083248036494013E-30
2.025E-5                  61627.668135089836       -1.8166088700475347E9    8.055127796370204E-30
2.035E-5                  61809.01433828229        -1.8103151938014228E9    8.027363830179067E-30
2.045E-5                  61989.7311738501         -1.8040215175553133E9    7.999228549742599E-30
2.0549999999999998E-5     62169.81864179333        -1.7977278413092027E9    7.972363553438682E-30
2.065E-5                  62349.276742111964       -1.7914341650630941E9    7.945610700767067E-30
2.0750000000000003E-5     62528.10547480597        -1.7851404888169856E9    7.917579224339696E-30
2.0850000000000002E-5     62706.304839875345       -1.7788468125708714E9    7.891110280683721E-30
2.095E-5                  62883.87483732014        -1.7725531363247623E9    7.865264252203204E-30
2.105E-5                  63060.815467140295       -1.7662594600786552E9    7.839265654094811E-30
2.115E-5                  63237.12672933586        -1.7599657838325458E9    7.812203628815383E-30
2.125E-5                  63412.808623906814       -1.7536721075864353E9    7.787020703786374E-30
2.135E-5                  63587.861150853154       -1.7473784313403273E9    7.761860642957597E-30
2.145E-5                  63762.28431017486        -1.7410847550942197E9    7.73568393910925E-30
2.155E-5                  63936.07810187199        -1.7347910788481054E9    7.711585894433864E-30
2.165E-5                  64109.24252594449        -1.728497402601995E9     7.686681548508514E-30
2.175E-5                  64281.77758239238        -1.722203726355886E9     7.662198110867912E-30
2.1850000000000003E-5     64453.93348913883        -1.7180543301720896E9    7.637533426062754E-30
2.195E-5                  64625.38632257719        -1.7110023385949805E9    7.614762018713697E-30
2.205E-5                  64796.13395685784        -1.7039503470178766E9    7.590972119581451E-30
2.215E-5                  64966.17639198077        -1.6968983554407783E9    7.568397311425834E-30
2.225E-5                  65135.51362794599        -1.689846363863676E9     7.545064706751567E-30
2.2349999999999998E-5     65304.14566475349        -1.6827943722865756E9    7.523423273423582E-30
2.245E-5                  65471.146703434795       -1.6591805635976963E9    7.499864122325889E-30
2.2550000000000003E-5     65636.92145325484        -1.656314432802589E9     7.479116764534794E-30
2.265E-5                  65802.40958999535        -1.653448302007487E9     7.458580650337693E-30
2.275E-5                  65967.61111365634        -1.6505821712123787E9    7.43637853171215E-30
2.285E-5                  66132.52602423783        -1.6477160404172792E9    7.41643355515763E-30
2.2950000000000002E-5     66297.15432173978        -1.6448499096221719E9    7.395235025048296E-30
2.305E-5                  66461.49600616224        -1.6419837788270693E9    7.37549361192543E-30
2.315E-5                  66625.84549843993        -1.6543382938007007E9    7.353981146901117E-30
2.325E-5                  66791.09100363814        -1.650571810163745E9     7.334853891321051E-30
2.335E-5                  66955.95986047269        -1.6468053265267913E9    7.316969283152867E-30
2.345E-5                  67120.4520689435         -1.6430388428898273E9    7.29595428709084E-30
2.3550000000000003E-5     67284.56762905065        -1.6392723592528737E9    7.277715284158972E-30
2.3650000000000002E-5     67448.30654079412        -1.6355058756159132E9    7.259272614106134E-30
2.375E-5                  67611.66880417382        -1.6317393919789534E9    7.240987988281906E-30
2.385E-5                  67774.65441918987        -1.6279729083420002E9    7.221968082783438E-30
2.395E-5                  67937.26338584223        -1.6242064247050393E9    7.204920361102462E-30
2.405E-5                  68099.49570413088        -1.6204399410680823E9    7.187163773482405E-30
2.415E-5                  68261.35137405586        -1.6166734574311252E9    7.170039740232321E-30
2.425E-5                  68422.8303956171         -1.612906973794168E9     7.151531674749103E-30
2.435E-5                  68583.93276881467        -1.609140490157206E9     7.13389653176645E-30
2.445E-5                  68744.65849364855        -1.60537400652025E9      7.117622119867267E-30
2.455E-5                  68905.00757011872        -1.6016075228832927E9    7.101126528301516E-30
2.465E-5                  69064.97999822519        -1.5978410392463326E9    7.084839205405766E-30
2.4750000000000002E-5     69224.57577796801        -1.594074555609374E9     7.068326381644885E-30
2.485E-5                  69383.7949093471         -1.5903080719724178E9    7.051877920591427E-30
