% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 8 2016, 10:49
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     166275.04798179492       -2.3217253339440186E11   1.1928905879227776E-15
1.5E-7                    189415.50803422334       -2.3063666765416666E11   1.2033299627640591E-15
2.5E-7                    212402.38151262826       -2.2910080191393152E11   1.348621355492953E-15
3.5E-7                    235235.66841700964       -2.2756493617369635E11   1.3874653600222746E-15
4.5E-7                    257915.36874736747       -2.2602907043346124E11   1.4252387350355337E-15
5.5E-7                    280441.48250370193       -2.2449320469322614E11   1.550432522665215E-15
6.5E-7                    302814.0096860128        -2.2295733895299106E11   1.5549960565897042E-15
7.5E-7                    325032.9502943001        -2.214214732127559E11    1.6292681023698564E-15
8.5E-7                    347098.304328564         -2.1988560747252075E11   1.6562057025705982E-15
9.5E-7                    368975.0102099866        -2.1793080695195023E11   1.7394056828357682E-15
1.05E-6                   390695.08822310553       -2.1647075331043024E11   1.7827396717979973E-15
1.15E-6                   412269.1608720725        -2.1501069966891034E11   1.8063157970548206E-15
1.25E-6                   433697.2281568877        -2.1355064602739038E11   1.8806102363240178E-15
1.3500000000000002E-6     454979.2900775507        -2.1209059238587042E11   1.9097831802556937E-15
1.4499999999999999E-6     476115.34663406166       -2.1063053874435046E11   1.968100007528892E-15
1.55E-6                   497105.3978264207        -2.091704851028305E11    1.9860003228755975E-15
1.65E-6                   517949.4436546279        -2.0771043146131058E11   2.035602456511057E-15
1.75E-6                   538647.4841186828        -2.062503778197906E11    2.034687928971482E-15
1.85E-6                   559199.519218586         -2.0479032417827063E11   2.0703649996505018E-15
1.95E-6                   579605.5489543369        -2.033302705367507E11    2.087286202060636E-15
2.0500000000000003E-6     599865.5733259361        -2.0187021689523068E11   2.096589985479867E-15
2.15E-6                   619979.592333383         -2.0041016325371082E11   2.0949927436316703E-15
2.25E-6                   639947.6059766782        -1.9895010961219083E11   2.1029460765356742E-15
2.35E-6                   659769.6142558213        -1.9749005597067084E11   2.1039532920984035E-15
2.45E-6                   679445.6171708126        -1.9603000232915085E11   2.0909883525442074E-15
