% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 7 2016, 22:39
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     9554.240010912079        -1.6090903070157507E10   8.246144470454959E-18
1.5E-7                    11157.781138112976       -1.597991947386042E10    8.315710905288795E-18
2.5E-7                    12750.22390568416        -1.5868935877563341E10   9.320344229250015E-18
3.5E-7                    14331.568313625641       -1.5757952281266256E10   9.586511389357707E-18
4.5E-7                    15901.81436193741        -1.5646968684969177E10   9.845200414478624E-18
5.5E-7                    17460.962050619477       -1.5535985088672096E10   1.071009928416185E-17
6.5E-7                    19009.011379671836       -1.5425001492375015E10   1.0738033864885727E-17
7.5E-7                    20545.96234909448        -1.5314017896077936E10   1.1249427578936811E-17
8.5E-7                    22071.814958887415       -1.5203034299780855E10   1.1432320647424123E-17
9.5E-7                    23584.41188087561        -1.506642315680326E10    1.2005436644708702E-17
1.05E-6                   25085.757362787324       -1.4960486481431183E10   1.2301915885740943E-17
1.15E-6                   26576.50917716184        -1.4854549806059109E10   1.246116708022033E-17
1.25E-6                   28056.66732399916        -1.4748613130687033E10   1.2972152999180442E-17
1.3500000000000002E-6     29526.231803299248       -1.4642676455314957E10   1.3170433607031608E-17
1.4499999999999999E-6     30985.202615062142       -1.453673977994288E10    1.3570760038932606E-17
1.55E-6                   32433.57975928783        -1.44308031045708E10     1.3691018083289683E-17
1.65E-6                   33871.36323597631        -1.4324866429198727E10   1.4030983898664978E-17
1.75E-6                   35298.55304512757        -1.4218929753826649E10   1.4020886466703152E-17
1.85E-6                   36715.14918674163        -1.411299307845457E10    1.42646280147105E-17
1.95E-6                   38121.15166081848        -1.4007056403082495E10   1.4378579666747642E-17
2.0500000000000003E-6     39516.560467358126       -1.3901119727710417E10   1.4439568331312168E-17
2.15E-6                   40901.37560636056        -1.3795183052338345E10   1.4425307054919936E-17
2.25E-6                   42275.5970778258         -1.3689246376966267E10   1.4477610458036978E-17
2.35E-6                   43639.22488175382        -1.3583309701594187E10   1.4481533640913197E-17
2.45E-6                   44992.259018144636       -1.3477373026222109E10   1.4389174427078738E-17
2.55E-6                   46334.69948699826        -1.3371436350850033E10   1.4289684968741595E-17
2.65E-6                   47666.54628831464        -1.3265499675477957E10   1.4191394978629592E-17
2.75E-6                   48987.799422093834       -1.3159563000105877E10   1.4094832597385477E-17
2.8500000000000002E-6     50298.45888833584        -1.3053626324733807E10   1.3995784158029753E-17
2.95E-6                   51598.5246870406         -1.2947689649361721E10   1.390065064456694E-17
3.0500000000000004E-6     52887.99681820819        -1.2841752973989647E10   1.3809681887842082E-17
3.15E-6                   54166.875281838504       -1.2735816298617569E10   1.3717044196430325E-17
3.25E-6                   55435.160077931665       -1.2629879623245502E10   1.3623419793281889E-17
3.35E-6                   56690.66516356589        -1.2498335420295013E10   1.3533698807957872E-17
3.45E-6                   57934.88826220948        -1.2386126552577019E10   1.3439203878955361E-17
3.5500000000000003E-6     59167.89047408129        -1.227391768485901E10    1.3353303870715756E-17
3.65E-6                   60402.58562760031        -1.2643114157202847E10   1.3262676808552846E-17
3.75E-6                   61663.61181432153        -1.2577409577221237E10   1.3173194003157186E-17
3.85E-6                   62918.06754304459        -1.2511704997239647E10   1.3086711725416022E-17
3.95E-6                   64170.107279912045       -1.2566982309385155E10   1.3000912336704319E-17
4.05E-6                   65422.15606070925        -1.2473993306559044E10   1.2919093838697131E-17
4.15E-6                   66664.90594122383        -1.238100430373296E10    1.283652804211339E-17
4.250000000000001E-6      67898.35692145582        -1.228801530090687E10    1.274829714150468E-17
4.35E-6                   69119.83368559742        -1.2100567503549763E10   1.2665829073686336E-17
4.45E-6                   70326.27902049139        -1.202833919433068E10    1.2590227320221269E-17
4.5500000000000005E-6     71525.50152446354        -1.1956110885111607E10   1.2505604088481095E-17
4.6499999999999995E-6     72717.50119751373        -1.1883882575892498E10   1.2426165078615192E-17
4.75E-6                   73902.27803964203        -1.1811654266673426E10   1.234840680703927E-17
4.85E-6                   75084.13087660322        -1.1858852617949507E10   1.2270397110419736E-17
4.950000000000001E-6      76265.85656880563        -1.177566122609948E10    1.2192138531748506E-17
5.05E-6                   77439.2631218231         -1.1692469834249432E10   1.2112092147563274E-17
5.15E-6                   78604.35053565551        -1.160927844239939E10    1.2033444228921695E-17
