% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 9 2016, 14:54
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     277096.5565908254        -9.475570448658936E9     4.956841080810747E-21
1.5E-7                    278041.89790061454       -9.431255747125504E9     5.0103601273263454E-21
2.5E-7                    278982.8077402504        -9.386941045592049E9     5.613185930529391E-21
3.5E-7                    279919.28610973293       -9.342626344058632E9     5.783749680761925E-21
4.5E-7                    280851.3330090621        -9.298311642525208E9     5.950312228677448E-21
5.5E-7                    281778.948438238         -9.253996940991734E9     6.4728725460232694E-21
6.5E-7                    282702.1323972605        -9.209682239458336E9     6.5058924217026754E-21
7.5E-7                    283620.88488612976       -9.165367537924898E9     6.822618378522294E-21
8.5E-7                    284535.2059048456        -9.12105283639149E9      6.947527401926148E-21
9.5E-7                    285442.9580083711        -9.05087272401462E9      7.301493307898057E-21
1.05E-6                   286346.0189164112        -9.010345436789997E9     7.493841787231736E-21
1.15E-6                   287245.027095729         -8.969818149565407E9     7.606492351476428E-21
1.25E-6                   288139.98254632426       -8.929290862340832E9     7.925698547262277E-21
1.3500000000000002E-6     289030.88526819716       -8.888763575116222E9     8.060870245780629E-21
1.4499999999999999E-6     289917.7352613476        -8.848236287891628E9     8.314877392493572E-21
1.55E-6                   290800.5325257755        -8.807709000667023E9     8.40397055848439E-21
1.65E-6                   291679.277061481         -8.767181713442406E9     8.622477756530259E-21
1.75E-6                   292553.96886846394       -8.72665442621782E9      8.634867714931363E-21
1.85E-6                   293424.60794672463       -8.68612713899321E9      8.795884925959464E-21
1.95E-6                   294291.1942962627        -8.645599851768585E9     8.879899659536465E-21
2.0500000000000003E-6     295153.72791707824       -8.605072564543976E9     8.933253752781567E-21
2.15E-6                   296012.2088091714        -8.564545277319397E9     8.941324570481783E-21
2.25E-6                   296866.6369725422        -8.524017990094803E9     8.98728706138628E-21
2.35E-6                   297717.0124071904        -8.4834907028701935E9    9.005551598925508E-21
2.45E-6                   298563.33511311625       -8.442963415645584E9     8.965217688830523E-21
