% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 8 2016, 10:51
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     61414.410425124865       -2.495228646342065E11    1.261502062922212E-14
1.5E-7                    86261.8704445104         -2.4742633575350424E11   1.2699459695084994E-14
2.5E-7                    110899.67757582571       -2.4532980687280206E11   1.4238896031552932E-14
3.5E-7                    135327.8318190708        -2.432332779920998E11    1.4626166945520678E-14
4.5E-7                    159546.3331742456        -2.4113674911139764E11   1.500150923493163E-14
5.5E-7                    183555.18164135033       -2.3904022023069543E11   1.6320484922902987E-14
6.5E-7                    207354.37722038483       -2.369436913499933E11    1.633261166310165E-14
7.5E-7                    230943.919911349         -2.348471624692911E11    1.7097982855625458E-14
8.5E-7                    254323.80971424293       -2.3275063358858887E11   1.7349698251612364E-14
9.5E-7                    277487.8764150096        -2.3059865496505298E11   1.820975671826203E-14
1.05E-6                   300445.92061788193       -2.2856222909239468E11   1.8637592843252194E-14
1.15E-6                   323200.3222334885        -2.2652580321973645E11   1.8849875958908166E-14
1.25E-6                   345751.08126182936       -2.2448937734707825E11   1.961005607514249E-14
1.3500000000000002E-6     368098.1977029041        -2.2245295147441998E11   1.988537402760922E-14
1.4499999999999999E-6     390241.67155671323       -2.2041652560176172E11   2.0474586858076436E-14
1.55E-6                   412181.5028232565        -2.183800997291035E11    2.0629883361683484E-14
1.65E-6                   433917.6915025339        -2.1634367385644525E11   2.1125933487965893E-14
1.75E-6                   455450.23759454547       -2.1430724798378696E11   2.1079507737033868E-14
1.85E-6                   476779.1410992915        -2.1227082211112872E11   2.1428900185655864E-14
1.95E-6                   497904.40201677126       -2.1023439623847046E11   2.157886210092979E-14
2.0500000000000003E-6     518826.02034698543       -2.0819797036581216E11   2.164514034810892E-14
2.15E-6                   539543.9960899336        -2.0616154449315402E11   2.1597388357098952E-14
2.25E-6                   560058.3292456162        -2.0412511862049576E11   2.1656221485806863E-14
2.35E-6                   580369.0198140327        -2.020886927478374E11    2.16378619894536E-14
2.45E-6                   600476.0677951839        -2.0005226687517917E11   2.1475119580275485E-14
2.55E-6                   620379.473189069         -1.9801584100252094E11   2.1299532065964332E-14
2.65E-6                   640079.2359956878        -1.9597941512986273E11   2.1130060762798004E-14
2.75E-6                   659575.3562150414        -1.9394298925720447E11   2.0966342357092486E-14
2.8500000000000002E-6     678867.833847129         -1.919065633845462E11    2.0796333818335883E-14
