% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 8 2016, 11:49
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     128278.95229979523       -8.134385188564739E11    4.0848863691293924E-13
1.5E-7                    209250.27311396378       -8.059878974268965E11    4.1084864909162673E-13
2.5E-7                    289476.5317851745        -7.985372759973191E11    4.60745302283888E-13
3.5E-7                    368957.72831342765       -7.910866545677417E11    4.72946576288746E-13
4.5E-7                    447693.86269872286       -7.836360331381643E11    4.847561174530979E-13
5.5E-7                    525684.9349410606        -7.761854117085869E11    5.274018912097098E-13
6.5E-7                    602930.9450404404        -7.687347902790095E11    5.272730662522602E-13
7.5E-7                    679431.8929968625        -7.612841688494323E11    5.517720376504232E-13
8.5E-7                    755187.7788103267        -7.538335474198549E11    5.594453469814763E-13
9.5E-7                    830231.8551671435        -7.468722825010237E11    5.870189461203345E-13
1.05E-6                   904554.731938156         -7.395852529192345E11    6.004408701974787E-13
1.15E-6                   978148.90575099          -7.322982233374454E11    6.067847163704234E-13
1.25E-6                   1051014.3766056458       -7.250111937556562E11    6.310411980893479E-13
1.3500000000000002E-6     1123151.1445021215       -7.177241641738673E11    6.394892794255985E-13
1.4499999999999999E-6     1194559.209440419        -7.104371345920781E11    6.581803221908795E-13
1.55E-6                   1265238.571420537        -7.031501050102888E11    6.627321579443863E-13
1.65E-6                   1335189.2304424765       -6.958630754284998E11    6.783956216046169E-13
1.75E-6                   1404411.186506237        -6.885760458467107E11    6.763778809618388E-13
1.85E-6                   1472904.4396118193       -6.812890162649215E11    6.873038406229166E-13
1.95E-6                   1540668.9897592214       -6.740019866831323E11    6.917605650213249E-13
2.0500000000000003E-6     1607704.836948445        -6.66714957101343E11     6.934622341735407E-13
2.15E-6                   1674011.9811794898       -6.594279275195542E11    6.914917305365564E-13
2.25E-6                   1739590.422452356        -6.52140897937765E11     6.930546388599729E-13
2.35E-6                   1804440.160767043        -6.448538683559757E11    6.920635736419124E-13
2.45E-6                   1868561.1961235516       -6.375668387741865E11    6.864503646482763E-13
2.55E-6                   1931953.5285218812       -6.302798091923973E11    6.803861113898093E-13
2.65E-6                   1994617.1579620305       -6.229927796106084E11    6.745955240917332E-13
2.75E-6                   2056552.0844440022       -6.157057500288192E11    6.69045272395894E-13
2.8500000000000002E-6     2117758.307967795        -6.084187204470302E11    6.632458046404785E-13
2.95E-6                   2178235.828533408        -6.011316908652408E11    6.578744106370077E-13
3.0500000000000004E-6     2237984.6461408436       -5.938446612834517E11    6.527975021267636E-13
3.15E-6                   2297004.7607900975       -5.865576317016626E11    6.476234708030978E-13
3.25E-6                   2355296.172481175        -5.792706021198739E11    6.42468851534905E-13
3.35E-6                   2412802.8816246167       -5.712329643529778E11    6.377266344944595E-13
3.45E-6                   2469544.0233961786       -5.635898710782571E11    6.328464617881508E-13
3.5500000000000003E-6     2525520.855840268        -5.55946777803536E11     6.281605306999699E-13
3.65E-6                   2581973.8713425742       -5.945447660768495E11    6.235796408143202E-13
3.75E-6                   2641268.6893756264       -5.91351594584185E11     6.190339182332937E-13
3.85E-6                   2700244.1902594115       -5.881584230915221E11    6.147824049468975E-13
3.95E-6                   2759149.630226357        -5.922631607459285E11    6.102912872419188E-13
4.05E-6                   2818146.321337517        -5.876706614772728E11    6.064112482497685E-13
4.15E-6                   2876683.76252181         -5.830781622086174E11    6.02421007498665E-13
4.250000000000001E-6      2934761.9537792406       -5.784856629399612E11    5.980816044856941E-13
4.35E-6                   2992315.4203046877       -5.716637302222715E11    5.942895027936553E-13
4.45E-6                   3049307.5162370326       -5.681781884246733E11    5.908001830789827E-13
4.5500000000000005E-6     3105951.0579896215       -5.646926466270757E11    5.867819344895052E-13
4.6499999999999995E-6     3162246.045562449        -5.612071048294766E11    5.831080435297622E-13
4.75E-6                   3218192.478955515        -5.577215630318782E11    5.796901075700674E-13
4.85E-6                   3273996.1718473057       -5.599532120313983E11    5.760464929992351E-13
4.950000000000001E-6      3329790.8123321515       -5.559395976655605E11    5.725123297586664E-13
5.05E-6                   3385184.0913804155       -5.519259832997225E11    5.689109331966152E-13
5.15E-6                   3440176.0089920964       -5.479123689338842E11    5.653145427686909E-13
5.2500000000000006E-6     3494766.5651671938       -5.438987545680462E11    5.62134730380435E-13
5.35E-6                   3548955.759905706        -5.398851402022086E11    5.587965415429293E-13
5.45E-6                   3602743.593207636        -5.358715258363704E11    5.55432024712497E-13
5.55E-6                   3656130.0650729807       -5.31857911470533E11     5.522363315867661E-13
5.65E-6                   3709115.175501742        -5.2784429710469464E11   5.489016213837124E-13
5.75E-6                   3761698.924493919        -5.2383068273885645E11   5.455404221980606E-13
5.85E-6                   3813881.3120495128       -5.198170683730184E11    5.421692560709435E-13
5.950000000000001E-6      3865662.3381685237       -5.158034540071808E11    5.388969827804403E-13
6.05E-6                   3917042.002850949        -5.1178983964134235E11   5.3531116734734E-13
6.15E-6                   3968020.306096792        -5.077762252755043E11    5.318438780419288E-13
6.25E-6                   4018597.2479060506       -5.037626109096666E11    5.283399351862425E-13
6.35E-6                   4068772.828278726        -4.997489965438285E11    5.248245769449402E-13
6.45E-6                   4118547.0472148163       -4.957353821779904E11    5.213384949026708E-13
6.550000000000001E-6      4167919.904714324        -4.917217678121528E11    5.179635252531257E-13
6.65E-6                   4216891.400777246        -4.8770815344631415E11   5.146292781033408E-13
6.75E-6                   4265461.535403586        -4.836945390804764E11    5.113474404056168E-13
6.8500000000000005E-6     4313630.30859334         -4.796809247146385E11    5.080984620031261E-13
6.9499999999999995E-6     4361397.720346515        -4.756673103488009E11    5.048724250235364E-13
7.05E-6                   4408768.496019081        -4.7208548666220886E11   5.016435901388541E-13
7.15E-6                   4455861.280441545        -4.697702017870934E11    4.984406550870225E-13
7.250000000000001E-6      4502722.536376499        -4.674549169119782E11    4.952905300304422E-13
7.35E-6                   4549352.263823941        -4.6513963203686304E11   4.922556750530816E-13
7.45E-6                   4595750.462783872        -4.628243471617479E11    4.891666376454747E-13
7.5500000000000006E-6     4641917.133256291        -4.605090622866323E11    4.861495632672502E-13
7.65E-6                   4687852.275241197        -4.5819377741151697E11   4.832304228483536E-13
7.75E-6                   4733555.888738595        -4.5587849253640186E11   4.802487489417764E-13
7.85E-6                   4779027.973748478        -4.535632076612866E11    4.773795160492883E-13
7.95E-6                   4824268.530270853        -4.512479227861712E11    4.74592023088639E-13
8.050000000000001E-6      4869277.558305713        -4.4893263791105554E11   4.717442961088042E-13
8.15E-6                   4914055.057853064        -4.466173530359403E11    4.690484698691413E-13
8.25E-6                   4958601.028912904        -4.4430206816082513E11   4.663327437024376E-13
8.35E-6                   5002915.471485228        -4.419867832857096E11    4.636403599257761E-13
8.449999999999999E-6      5046998.385570044        -4.3967149841059436E11   4.610908296209728E-13
8.550000000000001E-6      5090849.771167345        -4.3735621353547906E11   4.585510135743784E-13
8.65E-6                   5134469.62827714         -4.3504092866036383E11   4.560217573273246E-13
8.750000000000001E-6      5177857.956899421        -4.327256437852484E11    4.534603535565215E-13
8.85E-6                   5221014.757034186        -4.304103589101329E11    4.5105265882147824E-13
8.949999999999999E-6      5263940.028681446        -4.280950740350179E11    4.4865730306248833E-13
9.050000000000001E-6      5306633.7718411945       -4.2577978915990283E11   4.4626758445747865E-13
9.15E-6                   5349095.9865134265       -4.234645042847873E11    4.4389587910058047E-13
9.25E-6                   5391326.67269815         -4.211492194096718E11    4.415540624769555E-13
9.35E-6                   5433325.830395361        -4.188339345345562E11    4.392566255938313E-13
9.450000000000001E-6      5475093.459605061        -4.1651864965944147E11   4.370010793479263E-13
9.55E-6                   5516629.56032725         -4.14203364784326E11     4.347076896880424E-13
9.65E-6                   5557934.132561926        -4.118880799092108E11    4.3237986191060897E-13
9.75E-6                   5599007.176309093        -4.095727950340953E11    4.3012144259394337E-13
9.849999999999999E-6      5639848.691568746        -4.0725751015897986E11   4.278806982607745E-13
9.950000000000001E-6      5680458.678340886        -4.0494222528386475E11   4.25690490666586E-13
1.005E-5                  5720837.136625518        -4.0262694040874945E11   4.2340676128355075E-13
1.015E-5                  5760984.0664226385       -4.0031165553363446E11   4.2121427542746777E-13
1.025E-5                  5800939.251092262        -3.985439231509357E11    4.190079317546749E-13
1.0350000000000001E-5     5840689.4573028          -3.9646020105989026E11   4.1683435092199537E-13
1.045E-5                  5880231.29130424         -3.943764789688445E11    4.146865532511693E-13
1.055E-5                  5919564.753096574        -3.922927568777986E11    4.1248208814437887E-13
1.065E-5                  5958851.017269712        -3.920433625721057E11    4.1036383371986076E-13
1.0749999999999999E-5     5997961.696982208        -3.901702316778185E11    4.081240189339571E-13
1.0850000000000001E-5     6036885.063605279        -3.882971007835322E11    4.0593865175471833E-13
1.095E-5                  6075621.117138915        -3.864239698892453E11    4.037876049816129E-13
1.1050000000000001E-5     6114169.857583126        -3.845508389949586E11    4.0163571882408885E-13
1.115E-5                  6152531.284937909        -3.826777081006715E11    3.99461790629766E-13
1.1249999999999999E-5     6190705.399203259        -3.808045772063843E11    3.9728895583101865E-13
1.1350000000000001E-5     6228692.200379184        -3.789314463120979E11    3.9521618358510237E-13
1.145E-5                  6266491.68846568         -3.7705831541781104E11   3.930900742613678E-13
1.155E-5                  6304103.863462745        -3.751851845235248E11    3.910371440097938E-13
1.165E-5                  6341528.725370386        -3.733120536292373E11    3.8896574931446137E-13
1.1750000000000001E-5     6378766.274188594        -3.714389227349512E11    3.8690387201448844E-13
1.185E-5                  6415816.509917376        -3.6956579184066406E11   3.8491813057912913E-13
1.195E-5                  6452679.432556728        -3.6769266094637756E11   3.829086532807575E-13
1.205E-5                  6489355.04210665         -3.658195300520906E11    3.809165281584484E-13
1.2149999999999999E-5     6525843.338567144        -3.6394639915780396E11   3.790230138144011E-13
1.2250000000000001E-5     6562144.32193821         -3.6207326826351746E11   3.77071601935065E-13
1.235E-5                  6598257.9922198495       -3.602001373692304E11    3.751273771916749E-13
1.245E-5                  6634184.349412056        -3.583270064749435E11    3.7330954056602924E-13
1.255E-5                  6669923.393514837        -3.5645387558065656E11   3.714069426266541E-13
1.2650000000000001E-5     6705475.12452819         -3.5458074468637E11      3.6958987320436615E-13
1.275E-5                  6740839.54245211         -3.5270761379208325E11   3.6786396132677337E-13
1.285E-5                  6776016.647286606        -3.508344828977963E11    3.660967517044092E-13
1.295E-5                  6811006.439031669        -3.4896135200351013E11   3.642306077209936E-13
1.305E-5                  6845057.217062882        -3.387627510183826E11    3.625837401145567E-13
1.3150000000000001E-5     6878883.229198401        -3.377574916920142E11    3.6094872822154573E-13
1.325E-5                  6912608.715401287        -3.3675223236564594E11   3.5920345493830264E-13
1.3350000000000001E-5     6946233.675671534        -3.357469730392775E11    3.575533168493138E-13
1.345E-5                  6979758.110009139        -3.347417137129101E11    3.5606518637814146E-13
1.3549999999999999E-5     7013182.018414114        -3.3373645438654114E11   3.5444886375071927E-13
1.3650000000000001E-5     7046505.400886449        -3.327311950601725E11    3.528829109735589E-13
1.375E-5                  7079728.257426147        -3.317259357338046E11    3.5136077191493466E-13
1.385E-5                  7112850.588033211        -3.307206764074364E11    3.498948787967251E-13
1.395E-5                  7145872.392707635        -3.297154170810683E11    3.4844734213992836E-13
1.4050000000000001E-5     7178793.671449426        -3.287101577546996E11    3.470003404108645E-13
1.415E-5                  7211614.424258577        -3.2770489842833154E11   3.4561081368995287E-13
1.425E-5                  7244334.65113509         -3.266996391019634E11    3.442574923512878E-13
1.435E-5                  7276954.35207897         -3.25694379775595E11     3.4290170818979903E-13
1.4449999999999999E-5     7309473.527090209        -3.2468912044922644E11   3.416198353130552E-13
1.4550000000000001E-5     7341892.176168813        -3.236838611228578E11    3.402860168834967E-13
1.465E-5                  7374210.29931478         -3.2267860179648987E11   3.3904658677424575E-13
1.475E-5                  7406427.896528112        -3.2167334247012164E11   3.37811946910811E-13
1.485E-5                  7438544.967808805        -3.2066808314375323E11   3.365971486742782E-13
1.4950000000000001E-5     7470561.513156864        -3.196628238173851E11    3.354234506263432E-13
1.505E-5                  7502477.5325722825       -3.186575644910165E11    3.3427843438883894E-13
1.515E-5                  7534293.026055066        -3.1765230516464905E11   3.331669975267826E-13
1.525E-5                  7566007.993605213        -3.166470458382805E11    3.320362845590594E-13
1.535E-5                  7597622.4352227235       -3.1564178651191174E11   3.309725986111447E-13
1.545E-5                  7629136.350907596        -3.146365271855431E11    3.2994000173480485E-13
1.555E-5                  7660549.74065983         -3.1363126785917535E11   3.289093051586086E-13
1.565E-5                  7691862.604479429        -3.1262600853280695E11   3.278733348935324E-13
1.575E-5                  7723074.942366389        -3.1162074920643884E11   3.2683886618683406E-13
1.585E-5                  7754186.754320716        -3.1061548988006995E11   3.258057542291522E-13
1.5949999999999998E-5     7785198.040342403        -3.096102305537023E11    3.247761564184202E-13
1.6049999999999997E-5     7816108.800431457        -3.0860497122733386E11   3.2374308266478415E-13
1.6150000000000003E-5     7846919.034587874        -3.0759971190096594E11   3.22717020062746E-13
1.6250000000000002E-5     7877610.352309702        -3.061777629377611E11    3.216855044681388E-13
1.635E-5                  7908181.4112379365       -3.052434156269448E11    3.206538824043966E-13
1.645E-5                  7938659.035435092        -3.0430906831612823E11   3.196307192160864E-13
1.655E-5                  7969043.22490116         -3.033747210053119E11    3.186012720715149E-13
1.665E-5                  7999333.979636154        -3.02440373694495E11     3.175716656162143E-13
1.675E-5                  8029531.299640061        -3.0150602638367926E11   3.165416211940018E-13
1.685E-5                  8059635.184912889        -3.0057167907286206E11   3.155147696715422E-13
1.695E-5                  8089645.635454634        -2.996373317620459E11    3.144887433267383E-13
1.705E-5                  8119562.651265299        -2.987029844512297E11    3.134642354098942E-13
1.715E-5                  8149386.232344882        -2.977686371404131E11    3.124391744777945E-13
