% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 7 2016, 23:01
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     3630.4960980365768       -1.723193259878144E10    8.690830543084495E-17
1.5E-7                    5346.216254544857        -1.7082470531384169E10   8.746175440056216E-17
2.5E-7                    7046.990204313411        -1.69330084639869E10     9.807090248831201E-17
3.5E-7                    8732.817947342235        -1.6783546396589628E10   1.0071329992424396E-16
4.5E-7                    10403.699483631335       -1.6634084329192364E10   1.0327306422737805E-16
5.5E-7                    12059.634813180714       -1.6484622261795092E10   1.1235490437595489E-16
6.5E-7                    13700.623935990356       -1.6335160194397823E10   1.1239904869053348E-16
7.5E-7                    15326.666852060276       -1.618569812700056E10    1.176503291317877E-16
8.5E-7                    16937.76356139047        -1.6036236059603287E10   1.1934837707865073E-16
9.5E-7                    18533.880291168476       -1.5887869925968334E10   1.252525705525821E-16
1.05E-6                   20115.389667771287       -1.5742317606088158E10   1.2816732846031653E-16
1.15E-6                   21682.343812386098       -1.5596765286207983E10   1.2958969816715917E-16
1.25E-6                   23234.742725012904       -1.545121296632781E10    1.347995481018676E-16
1.3500000000000002E-6     24772.586405651666       -1.5305660646447636E10   1.3666086844442445E-16
1.4499999999999999E-6     26295.874854302423       -1.516010832656746E10    1.406906947134403E-16
1.55E-6                   27804.608070965154       -1.5014556006687286E10   1.4172440391695115E-16
1.65E-6                   29298.78605563988        -1.486900368680711E10    1.451115386290197E-16
1.75E-6                   30778.408808326578       -1.4723451366926935E10   1.4475267921278086E-16
1.85E-6                   32243.47632902527        -1.457789904704676E10    1.4713030122102697E-16
1.95E-6                   33693.98861773593        -1.4432346727166588E10   1.4813308747925206E-16
2.0500000000000003E-6     35129.945674458584       -1.4286794407286407E10   1.4855592210944203E-16
2.15E-6                   36551.34749919321        -1.414124208740624E10    1.4819468893831356E-16
2.25E-6                   37958.194091939826       -1.3995689767526064E10   1.4857394696415015E-16
2.35E-6                   39350.48545269842        -1.3850137447645884E10   1.4841728549034938E-16
2.45E-6                   40728.221581469006       -1.3704585127765709E10   1.4726991318983837E-16
2.55E-6                   42091.40247825158        -1.3559032807885534E10   1.4603141635185323E-16
2.65E-6                   43440.02814304612        -1.3413480488005363E10   1.4484073951886658E-16
2.75E-6                   44774.098575852644       -1.3267928168125181E10   1.4369376864864462E-16
2.8500000000000002E-6     46093.61377667117        -1.3122375848245012E10   1.4250006085353218E-16
2.95E-6                   47398.573745501635       -1.2976823528364838E10   1.413859892236276E-16
3.0500000000000004E-6     48688.97848234414        -1.2831271208484661E10   1.4033051548172206E-16
3.15E-6                   49964.82798719856        -1.2685718888604485E10   1.3925517896579029E-16
3.25E-6                   51226.12226006501        -1.254016656872432E10    1.381805805009904E-16
3.35E-6                   52471.44404154115        -1.2376415329958273E10   1.3718341334803183E-16
3.45E-6                   53701.43975472145        -1.222349893364802E10    1.3615216507327367E-16
3.5500000000000003E-6     54916.14382827074        -1.2070582537337746E10   1.3517374903842643E-16
3.65E-6                   56139.039034555615       -1.2793072535256453E10   1.3420117963430997E-16
3.75E-6                   57414.93198946783        -1.2724786562987474E10   1.332373691256634E-16
3.85E-6                   58683.996347153115       -1.2656500590718525E10   1.3232925637304197E-16
3.95E-6                   59951.317782596176       -1.2736960121848434E10   1.3138349359515512E-16
4.05E-6                   61220.12461793052        -1.2639176584838406E10   1.3054776752909305E-16
4.15E-6                   62479.153099563824       -1.2541393047828362E10   1.296923313184286E-16
4.250000000000001E-6      63728.40322749619        -1.2443609510818317E10   1.2876609465083427E-16
4.35E-6                   64966.15735976407        -1.2286532951790773E10   1.2794355942884934E-16
4.45E-6                   66191.07995576461        -1.2211918968221048E10   1.2718753365954137E-16
4.5500000000000005E-6     67408.54115340827        -1.2137304984651358E10   1.2632300453811215E-16
4.6499999999999995E-6     68618.54095269491        -1.2062691001081642E10   1.2552757753575104E-16
4.75E-6                   69821.07935362459        -1.198807701751193E10    1.2477839165169455E-16
4.85E-6                   71020.56974534651        -1.2036062718039856E10   1.2399160241197636E-16
4.950000000000001E-6      72219.87982030582        -1.1950138781147108E10   1.232223145923192E-16
5.05E-6                   73410.5975015759         -1.1864214844254368E10   1.224377641986914E-16
5.15E-6                   74592.72278915669        -1.1778290907361631E10   1.2165747702723746E-16
5.2500000000000006E-6     75766.25568304825        -1.1692366970468884E10   1.2095708014369992E-16
5.35E-6                   76931.1961832505         -1.1606443033576145E10   1.2023201310920128E-16
5.45E-6                   78087.54428976346        -1.1520519096683407E10   1.1949565188095998E-16
5.55E-6                   79235.30000258717        -1.1434595159790665E10   1.1879803431655412E-16
5.65E-6                   80374.46332172159        -1.1348671222897923E10   1.1807106496594107E-16
5.75E-6                   81505.03424716675        -1.1262747286005177E10   1.1734154904629132E-16
5.85E-6                   82627.01277892262        -1.1176823349112427E10   1.1661101638451106E-16
5.950000000000001E-6      83740.39891698923        -1.1090899412219692E10   1.158979627110113E-16
6.05E-6                   84845.19266136659        -1.1004975475326946E10   1.1512595837719498E-16
6.15E-6                   85941.39401205462        -1.091905153843419E10    1.14379715839804E-16
6.25E-6                   87029.00296905341        -1.0833127601541449E10   1.1362556449704568E-16
6.35E-6                   88108.01953236293        -1.074720366464872E10    1.128684071658666E-16
6.45E-6                   89178.44370198317        -1.066127972775597E10    1.1211867159517817E-16
6.550000000000001E-6      90240.27547791413        -1.057535579086323E10    1.1139340046678778E-16
6.65E-6                   91293.51486015582        -1.0489431853970482E10   1.1067697928174239E-16
6.75E-6                   92338.16184870823        -1.0403507917077744E10   1.0997170776025498E-16
6.8500000000000005E-6     93374.21644357132        -1.0317583980185005E10   1.0927319648230667E-16
6.9499999999999995E-6     94401.67864474522        -1.0231660043292263E10   1.0858037584743494E-16
7.05E-6                   95420.62630237557        -1.0153503157448536E10   1.0788690612185357E-16
7.15E-6                   96433.48924101275        -1.01037556152957E10     1.071991556391696E-16
7.250000000000001E-6      97441.37742543471        -1.005400807314289E10    1.0652235664663956E-16
7.35E-6                   98444.29085564133        -1.0004260530990055E10   1.0587029700027839E-16
7.45E-6                   99442.22953163269        -9.95451298883723E9      1.0520713335352868E-16
7.5500000000000006E-6     100435.19345340878       -9.904765446684395E9     1.0455929859333163E-16
7.65E-6                   101423.18262096959       -9.855017904531578E9     1.039324915195645E-16
7.75E-6                   102406.19703431512       -9.805270362378752E9     1.0329225470482723E-16
7.85E-6                   103384.23669344533       -9.755522820225922E9     1.0267625521074732E-16
7.95E-6                   104357.3015983603        -9.705775278073095E9     1.020778203493811E-16
8.050000000000001E-6      105325.39174905997       -9.656027735920265E9     1.0146615632960606E-16
8.15E-6                   106288.50714554437       -9.606280193767439E9     1.008872144971503E-16
8.25E-6                   107246.64778781349       -9.556532651614613E9     1.003039233521523E-16
8.35E-6                   108199.81367586726       -9.506785109461784E9     9.97255627213342E-17
8.449999999999999E-6      109148.00480970582       -9.457037567308964E9     9.917793015679497E-17
8.550000000000001E-6      110091.22118932902       -9.407290025156134E9     9.863223296489953E-17
8.65E-6                   111029.46281473702       -9.357542483003307E9     9.80887688095548E-17
8.750000000000001E-6      111962.72968592975       -9.307794940850477E9     9.753848214973444E-17
8.85E-6                   112891.0218029071        -9.258047398697657E9     9.702102723665864E-17
8.949999999999999E-6      113814.33916566927       -9.208299856544832E9     9.650629638191801E-17
9.050000000000001E-6      114732.68177421612       -9.158552314392002E9     9.599268831894737E-17
9.15E-6                   115646.04962854765       -9.108804772239174E9     9.548302459799307E-17
9.25E-6                   116554.44272866395       -9.059057230086353E9     9.49797280012215E-17
9.35E-6                   117457.86107456492       -9.009309687933514E9     9.448593700031335E-17
