% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 7 2016, 15:46
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rho * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     5133.811028083837        -4.863650659458621E9     1.065945214418311E-30
1.5E-7                    5618.692756348962        -4.833983905843839E9     1.075877128490098E-30
2.5E-7                    6100.607809252605        -4.804317152229054E9     1.2056469167560673E-30
3.5E-7                    6579.556186794772        -4.774650398614271E9     1.240902951128086E-30
4.5E-7                    7055.537888975459        -4.744983644999488E9     1.2752226749493092E-30
5.5E-7                    7528.552915794669        -4.715316891384706E9     1.3872224135182594E-30
6.5E-7                    7998.601267252403        -4.685650137769921E9     1.3921383916769913E-30
7.5E-7                    8465.682943348656        -4.655983384155139E9     1.4589809382465647E-30
8.5E-7                    8929.79794408343         -4.626316630540356E9     1.4838230130981336E-30
9.5E-7                    9390.077384761174        -4.586198004284663E9     1.5586448686227909E-30
1.05E-6                   9847.298833816341        -4.558230976818713E9     1.598086665148671E-30
1.15E-6                   10301.723580124917       -4.530263949352766E9     1.6200213051837515E-30
1.25E-6                   10753.351623686898       -4.502296921886819E9     1.687017348315596E-30
1.3500000000000002E-6     11202.182964502279       -4.47432989442087E9      1.7138824405255285E-30
1.4499999999999999E-6     11648.217602571072       -4.446362866954923E9     1.7666540935783528E-30
1.55E-6                   12091.455537893267       -4.418395839488974E9     1.783473011628703E-30
1.65E-6                   12531.896770468868       -4.390428812023026E9     1.8284877528873797E-30
1.75E-6                   12969.541300297868       -4.362461784557077E9     1.8285663015364806E-30
1.85E-6                   13404.389127380284       -4.334494757091129E9     1.8611352913162253E-30
1.95E-6                   13836.440251716098       -4.306527729625181E9     1.8769811846613787E-30
2.0500000000000003E-6     14265.694673305317       -4.278560702159232E9     1.886088844567259E-30
2.15E-6                   14692.152392147942       -4.250593674693286E9     1.885435627801808E-30
2.25E-6                   15115.813408243976       -4.222626647227338E9     1.893194035468652E-30
2.35E-6                   15536.67772159341        -4.194659619761388E9     1.8948267046023826E-30
2.45E-6                   15954.745332196253       -4.1666925922954397E9    1.8839114884383923E-30
2.55E-6                   16370.016240052504       -4.1387255648294916E9    1.8721446491916016E-30
2.65E-6                   16782.490445162148       -4.1107585373635445E9    1.860364987705428E-30
2.75E-6                   17192.16794752521        -4.0827915098975945E9    1.848683211546315E-30
2.8500000000000002E-6     17599.048747141675       -4.0548244824316483E9    1.8367697776218175E-30
2.95E-6                   18003.13284401154        -4.0268574549657E9       1.825182458222292E-30
3.0500000000000004E-6     18404.42023813482        -3.998890427499753E9     1.8140532753445995E-30
3.15E-6                   18802.910929511483       -3.970923400033801E9     1.802714847058928E-30
3.25E-6                   19198.60491814157        -3.942956372567856E9     1.791196602383738E-30
3.35E-6                   19590.722247650323       -3.9060362346646004E9    1.7799988976137263E-30
3.45E-6                   19979.83456022136        -3.876210016756143E9     1.7681028651608608E-30
3.5500000000000003E-6     20365.964251001547       -3.846383798847678E9     1.757484550415574E-30
3.65E-6                   20751.958118205483       -3.9226171141685567E9    1.7459929672343044E-30
3.75E-6                   21143.217478704963       -3.902570095820901E9     1.7346537326020952E-30
3.85E-6                   21532.472137369667       -3.8825230774732504E9    1.723582470093379E-30
3.95E-6                   21920.919322062713       -3.8972759980782104E9    1.712803267957843E-30
4.05E-6                   22309.231964976174       -3.868976860191014E9     1.702216389825509E-30
4.15E-6                   22694.71469410091        -3.8406777223038073E9    1.6915777225970543E-30
4.250000000000001E-6      23077.367509436932       -3.8123785844166064E9    1.6802511167571295E-30
4.35E-6                   23456.260066781753       -3.7510879652291446E9    1.669468184389971E-30
4.45E-6                   23830.262750824582       -3.728965715627605E9     1.65958740483686E-30
4.5500000000000005E-6     24202.053209907266       -3.706843466026062E9     1.6485986320445915E-30
4.6499999999999995E-6     24571.631444029805       -3.6847212164245167E9    1.6382089468384743E-30
4.75E-6                   24938.997453192165       -3.6625989668229675E9    1.6278946866735884E-30
4.85E-6                   25305.4759544437         -3.6772806329584346E9    1.617706533453675E-30
4.950000000000001E-6      25671.929452722237       -3.6517893326125126E9    1.6073856730509197E-30
5.05E-6                   26035.8338209662         -3.6262980322665887E9    1.5968121984104586E-30
5.15E-6                   26397.18905917555        -3.6008067319206657E9    1.5864635912637068E-30
5.2500000000000006E-6     26755.99516735034        -3.5753154315747437E9    1.576573494937512E-30
5.35E-6                   27112.252145490515       -3.5498241312288203E9    1.566901739978047E-30
5.45E-6                   27465.9599935961         -3.5243328308829007E9    1.5567506429289868E-30
5.55E-6                   27817.118711667088       -3.498841530536977E9     1.5472200022524612E-30
5.65E-6                   28165.728299703496       -3.473350230191056E9     1.5373409904380011E-30
5.75E-6                   28511.7887577053         -3.4478589298451304E9    1.5276052234224219E-30
5.85E-6                   28855.300085672523       -3.422367629499206E9     1.5179098133371116E-30
5.950000000000001E-6      29196.262283605152       -3.396876329153287E9     1.50821872305955E-30
6.05E-6                   29534.675351503178       -3.371385028807362E9     1.4982528236366807E-30
6.15E-6                   29870.539289366618       -3.3458937284614344E9    1.4886289953964894E-30
6.25E-6                   30203.854097195464       -3.3204024281155148E9    1.4789027158882475E-30
6.35E-6                   30534.61977498973        -3.2949111277695923E9    1.4691022550983298E-30
6.45E-6                   30862.836322749383       -3.2694198274236684E9    1.4594591386320255E-30
6.550000000000001E-6      31188.50374047446        -3.243928527077749E9     1.450159209006471E-30
6.65E-6                   31511.62202816493        -3.2184372267318234E9    1.4409736801705148E-30
6.75E-6                   31832.19118582082        -3.192945926385904E9     1.4319243277835752E-30
6.8500000000000005E-6     32150.21121344211        -3.1674546260399785E9    1.422941615956075E-30
6.9499999999999995E-6     32465.682111028826       -3.1419633256940594E9    1.4140725370948083E-30
7.05E-6                   32778.59148256371        -3.1165236764354615E9    1.4051914938121548E-30
7.15E-6                   33089.48948134962        -3.10143629928314E9      1.3963900515670635E-30
7.250000000000001E-6      33398.87874242033        -3.0863489221308184E9    1.3877041327855302E-30
7.35E-6                   33706.759265775785       -3.0712615449784966E9    1.3793326266037455E-30
7.45E-6                   34013.13105141603        -3.056174167826176E9     1.370847664323003E-30
7.5500000000000006E-6     34317.99409934103        -3.041086790673851E9     1.3625513987716097E-30
7.65E-6                   34621.348409550796       -3.02599941352153E9      1.3545223209240277E-30
7.75E-6                   34923.19398204534        -3.0109120363692083E9    1.3463187404939529E-30
7.85E-6                   35223.53081682464        -2.9958246592168865E9    1.3384300540677845E-30
7.95E-6                   35522.35891388872        -2.980737282064563E9     1.3307667147316854E-30
8.050000000000001E-6      35819.67827323756        -2.965649904912238E9     1.3229136561159242E-30
8.15E-6                   36115.488894871174       -2.9505625277599173E9    1.3154859120314083E-30
8.25E-6                   36409.79077878956        -2.9354751506075935E9    1.3079964556768709E-30
8.35E-6                   36702.58392499269        -2.9203877734552746E9    1.3005640132550228E-30
8.449999999999999E-6      36993.8683334806         -2.9053003963029523E9    1.2935285565080453E-30
8.550000000000001E-6      37283.64400425326        -2.8902130191506276E9    1.2865078845517682E-30
8.65E-6                   37571.91093731073        -2.875125641998309E9     1.2795120740070412E-30
8.750000000000001E-6      37858.66913265295        -2.8600382648459816E9    1.2724334511948437E-30
8.85E-6                   38143.91859027991        -2.844950887693663E9     1.2657644069635844E-30
8.949999999999999E-6      38427.659310191666       -2.8298635105413427E9    1.2591345104402031E-30
9.050000000000001E-6      38709.8912923882         -2.814776133389016E9     1.2525127085575864E-30
9.15E-6                   38990.61453686946        -2.7996887562366953E9    1.2459462514530624E-30
9.25E-6                   39269.82904363553        -2.7846013790843735E9    1.239457698028062E-30
9.35E-6                   39547.53481268635        -2.76951400193205E9      1.2330893293530531E-30
9.450000000000001E-6      39823.73184402194        -2.754426624779728E9     1.2268450084526759E-30
9.55E-6                   40098.42013764229        -2.739339247627406E9     1.2204966620183086E-30
9.65E-6                   40371.59969354741        -2.7242518704750843E9    1.2140522598699687E-30
9.75E-6                   40643.27051173732        -2.7091644933227634E9    1.2077993654597154E-30
9.849999999999999E-6      40913.43259221197        -2.694077116170438E9     1.2015953144040127E-30
9.950000000000001E-6      41182.08593497138        -2.678989739018115E9     1.1955316020608143E-30
1.005E-5                  41449.2305400156         -2.663902361865794E9     1.1892082752869722E-30
1.015E-5                  41714.86640734456        -2.6488149847134733E9    1.1831377074309685E-30
1.025E-5                  41979.231832258796       -2.637053122189476E9     1.1770272211113521E-30
1.0350000000000001E-5     42242.2572321218         -2.6234548750708194E9    1.1710077440896377E-30
1.045E-5                  42503.922807272975       -2.609856627952166E9     1.165060321264754E-30
1.055E-5                  42764.22855771227        -2.5962583808335123E9    1.158955230212391E-30
1.065E-5                  43024.23645097835        -2.5947404454900045E9    1.1530890028768068E-30
1.0749999999999999E-5     43283.09932172639        -2.582516969471116E9     1.1468837156040473E-30
1.0850000000000001E-5     43540.73984487257        -2.570293493452232E9     1.1408302747382744E-30
1.095E-5                  43797.15802041685        -2.558070017433344E9     1.1348712923327487E-30
1.1050000000000001E-5     44052.35384835924        -2.5458465414144616E9    1.1289093136344009E-30
1.115E-5                  44306.32732869976        -2.5336230653955746E9    1.122885787523312E-30
1.1249999999999999E-5     44559.078461438345       -2.5213995893766894E9    1.116864583157222E-30
1.1350000000000001E-5     44810.60724657508        -2.5091761133578053E9    1.1111207394055501E-30
1.145E-5                  45060.91368410993        -2.49695263733892E9      1.1052275539098395E-30
1.155E-5                  45309.99777404286        -2.484729161320035E9     1.099538173133907E-30
1.165E-5                  45557.85951637393        -2.4725056853011456E9    1.0937958662373679E-30
1.1750000000000001E-5     45804.498911103095       -2.4602822092822638E9    1.0880793481835964E-30
1.185E-5                  46049.915958230384       -2.4480587332633767E9    1.0825740171738109E-30
1.195E-5                  46294.110657755766       -2.4358352572444925E9    1.0770016993791781E-30
1.205E-5                  46537.08300967927        -2.423611781225606E9     1.0714773659575967E-30
1.2149999999999999E-5     46778.83301400089        -2.411388305206721E9     1.0662258094093578E-30
1.2250000000000001E-5     47019.36067072061        -2.3991648291878366E9    1.0608129884519658E-30
1.235E-5                  47258.66597983846        -2.386941353168949E9     1.0554194990288311E-30
1.245E-5                  47496.7489413544         -2.374717877150065E9     1.0503765655897873E-30
1.255E-5                  47733.60955526848        -2.362494401131176E9     1.0450976336131721E-30
1.2650000000000001E-5     47969.24782158066        -2.3502709251122956E9    1.0400545836208728E-30
1.275E-5                  48203.66374029092        -2.3380474490934067E9    1.0352646146751968E-30
1.285E-5                  48436.85731139934        -2.325823973074523E9     1.0303598093886163E-30
1.295E-5                  48668.82853490582        -2.3136004970556426E9    1.02517899729225E-30
1.305E-5                  48894.65662237394        -2.2468543155824046E9    1.0206068023920273E-30
1.3150000000000001E-5     49119.01234522417        -2.2402601414224524E9    1.0160672823393432E-30
1.325E-5                  49342.708650658446       -2.2336659672625003E9    1.0112203091481813E-30
1.3350000000000001E-5     49565.745538676696       -2.227071793102542E9     1.0066372088712919E-30
1.345E-5                  49788.123009278934       -2.2204776189425917E9    1.0025032982360534E-30
1.3549999999999999E-5     50009.8410624652         -2.2138834447826366E9    9.980131608272445E-31
1.3650000000000001E-5     50230.89969823547        -2.207289270622684E9     9.936625157772426E-31
1.375E-5                  50451.29891658973        -2.20069509646273E9      9.894324984888642E-31
1.385E-5                  50671.03871752803        -2.1941009223027725E9    9.8535837967521E-31
1.395E-5                  50890.1191010503         -2.187506748142823E9     9.813346532007731E-31
1.4050000000000001E-5     51108.54006715659        -2.1809125739828672E9    9.773117780227424E-31
1.415E-5                  51326.30161584688        -2.1743183998229117E9    9.734481711619887E-31
1.425E-5                  51543.40374712116        -2.16772422566296E9      9.696847173974978E-31
1.435E-5                  51759.84646097946        -2.161130051503005E9     9.659138545487725E-31
1.4449999999999999E-5     51975.62975742176        -2.154535877343049E9     9.623478875584106E-31
1.4550000000000001E-5     52190.75363644807        -2.1479417031830955E9    9.586372010186063E-31
1.465E-5                  52405.21809805838        -2.1413475290231426E9    9.551882989619803E-31
1.475E-5                  52619.0231422527         -2.1347533548631933E9    9.517523210428821E-31
1.485E-5                  52832.16876903102        -2.1281591807032351E9    9.48371086426498E-31
1.4950000000000001E-5     53044.65497839336        -2.1215650065432825E9    9.451036720691724E-31
1.505E-5                  53256.481770339684       -2.1149708323833284E9    9.419157107130852E-31
1.515E-5                  53467.64914487002        -2.1083766582233758E9    9.388208265833189E-31
1.525E-5                  53678.157101984354       -2.101782484063424E9     9.356721859144094E-31
1.535E-5                  53888.005641682714       -2.0951883099034672E9    9.327095699137935E-31
1.545E-5                  54097.194763965046       -2.0885941357435126E9    9.298332679580184E-31
1.555E-5                  54305.72446883141        -2.0819999615835576E9    9.26962249449708E-31
1.565E-5                  54513.59475628176        -2.0754057874236035E9    9.240766488328495E-31
1.575E-5                  54720.8056263161         -2.0688116132636533E9    9.211951528194722E-31
1.585E-5                  54927.35707893448        -2.0622174391036973E9    9.183174210603786E-31
1.5949999999999998E-5     55133.24911413684        -2.0556232649437456E9    9.15449388568164E-31
1.6049999999999997E-5     55338.48173192324        -2.0490290907837896E9    9.125717112267394E-31
1.6150000000000003E-5     55543.054932293635       -2.0424349166238403E9    9.097134717997397E-31
1.6250000000000002E-5     55746.848460009234       -2.033115538513618E9     9.068400642202193E-31
1.635E-5                  55949.85337798998        -2.0269828211015291E9    9.039663976647466E-31
1.645E-5                  56152.24502422954        -2.020850103689437E9     9.011161043486612E-31
1.655E-5                  56354.02339872788        -2.0147173862773476E9    8.982484108780156E-31
1.665E-5                  56555.18850148502        -2.008584668865256E9     8.953802437229492E-31
1.675E-5                  56755.740332500936       -2.0024519514531684E9    8.925108558941682E-31
1.685E-5                  56955.67889177564        -1.9963192340410752E9    8.89650338767988E-31
1.695E-5                  57155.00417930912        -1.9901865166289866E9    8.86792071999138E-31
1.705E-5                  57353.716195101435       -1.9840537992168975E9    8.839379866644305E-31
1.715E-5                  57551.81493915252        -1.9779210818048081E9    8.810823347559785E-31
1.7250000000000003E-5     57749.300411462405       -1.9717883643927174E9    8.782166551701159E-31
1.735E-5                  57946.17261203106        -1.965655646980628E9     8.75354212032895E-31
1.745E-5                  58142.431540858524       -1.9595229295685358E9    8.72505437076652E-31
1.755E-5                  58338.07719794477        -1.953390212156447E9     8.696595597342332E-31
1.765E-5                  58533.10958328979        -1.9472574947443595E9    8.668101967702718E-31
1.7749999999999998E-5     58727.52869689363        -1.9411247773322663E9    8.639605691667752E-31
1.785E-5                  58921.334538756266       -1.9349920599201791E9    8.611082761623163E-31
1.7950000000000003E-5     59114.527108877686       -1.9288593425080853E9    8.582515982458201E-31
1.805E-5                  59307.10640725789        -1.9227266250959966E9    8.554006011709014E-31
1.815E-5                  59499.07243389688        -1.9165939076839116E9    8.525485464353285E-31
1.825E-5                  59690.42518879466        -1.91046119027182E9      8.496969724657875E-31
1.8350000000000002E-5     59881.16467195124        -1.9043284728597298E9    8.468378829239453E-31
1.845E-5                  60071.29088336662        -1.8981957554476397E9    8.439915078376474E-31
1.855E-5                  60260.80382304077        -1.8920630380355504E9    8.41140137128001E-31
1.865E-5                  60449.70349097371        -1.8859303206234558E9    8.382795417022778E-31
1.875E-5                  60637.989887165444       -1.8797976032113693E9    8.35419058718811E-31
1.8849999999999997E-5     60825.66301161598        -1.8736648857992828E9    8.325540831521758E-31
1.8950000000000003E-5     61012.722864325326       -1.8675321683871875E9    8.296930388221285E-31
1.9050000000000002E-5     61199.16944529343        -1.8613994509750996E9    8.268180380411022E-31
1.915E-5                  61385.00275452035        -1.8552667335630107E9    8.239452638455012E-31
1.925E-5                  61570.22279200603        -1.8491340161509187E9    8.210735380059611E-31
1.935E-5                  61754.82955775053        -1.8430012987388294E9    8.181962505132266E-31
1.945E-5                  61938.823051753796       -1.8368685813267436E9    8.153128481680774E-31
1.955E-5                  62122.20327401589        -1.8307358639146504E9    8.124332697109795E-31
1.965E-5                  62304.97022453672        -1.824603146502559E9     8.095446376984008E-31
1.975E-5                  62487.12390331639        -1.8184704290904717E9    8.066465254618512E-31
1.985E-5                  62668.66431035483        -1.8123377116783779E9    8.03738564799087E-31
1.995E-5                  62849.591445652055       -1.8062049942662928E9    8.008823662002458E-31
2.005E-5                  63029.90530920809        -1.8000722768542004E9    7.982792592231721E-31
2.0150000000000002E-5     63209.605901022915       -1.7939395594421105E9    7.95525085549153E-31
2.025E-5                  63388.6932210965         -1.78780684203002E9      7.92784802096458E-31
2.035E-5                  63567.16726942893        -1.781674124617931E9     7.900791500293147E-31
2.045E-5                  63745.02804602009        -1.7755414072058406E9    7.873372901783824E-31
2.0549999999999998E-5     63922.275550870065       -1.7694086897937508E9    7.847187312177674E-31
2.065E-5                  64098.90978397885        -1.7632759723816628E9    7.821110732015185E-31
2.0750000000000003E-5     64274.93074534642        -1.757143254969575E9     7.793788485100828E-31
2.0850000000000002E-5     64450.338434972764       -1.7510105375574784E9    7.7679865046842265E-31
2.095E-5                  64625.1328528579         -1.744877820145392E9     7.742786317369203E-31
2.105E-5                  64799.31399900184        -1.7387451027333026E9    7.717438660035749E-31
2.115E-5                  64972.88187340456        -1.7326123853212137E9    7.691056151117509E-31
2.125E-5                  65145.83647606609        -1.7264796679091244E9    7.666498740066191E-31
2.135E-5                  65318.17780698639        -1.7203469504970345E9    7.641962285409636E-31
2.145E-5                  65489.905866165485       -1.7142142330849466E9    7.616436160024901E-31
2.155E-5                  65661.02065360338        -1.7080815156728544E9    7.592931169204733E-31
2.165E-5                  65831.52216930005        -1.7019487982607632E9    7.56864010985623E-31
2.175E-5                  66001.41041325554        -1.6958160808486753E9    7.544757220548044E-31
2.1850000000000003E-5     66170.92895822451        -1.6917713980916653E9    7.520696628984585E-31
2.195E-5                  66339.7626239995         -1.6849019174081821E9    7.49847704671219E-31
2.205E-5                  66507.90934170615        -1.6780324367247012E9    7.475265853146199E-31
2.215E-5                  66675.36911134445        -1.6711629560412204E9    7.453235008861072E-31
2.225E-5                  66842.14193291441        -1.6642934753577414E9    7.4304663214292205E-31
2.2349999999999998E-5     67008.22780641599        -1.6574239946742601E9    7.409340719855822E-31
2.245E-5                  67172.72247511863        -1.634371594999195E9     7.386348611904031E-31
2.2550000000000003E-5     67336.01934843973        -1.6315658714220848E9    7.366091993398272E-31
2.265E-5                  67499.03564940307        -1.6287601478449743E9    7.346039721462457E-31
2.275E-5                  67661.77137800874        -1.6259544242678592E9    7.3243645730361006E-31
2.285E-5                  67824.22653425665        -1.6231487006907535E9    7.304885436314057E-31
2.2950000000000002E-5     67986.40111814685        -1.6203429771136384E9    7.28418558277675E-31
2.305E-5                  68148.29512967935        -1.617537253536531E9     7.264903674551672E-31
2.315E-5                  68310.19520226143        -1.6295495301978989E9    7.243896786196026E-31
2.325E-5                  68472.96601380255        -1.6258667006249304E9    7.225209434352067E-31
2.335E-5                  68635.36854238641        -1.6221838710519645E9    7.207731157451962E-31
2.345E-5                  68797.40278801294        -1.6185010414789886E9    7.187206969725537E-31
2.3550000000000003E-5     68959.06875068221        -1.6148182119060209E9    7.169382729675452E-31
2.3650000000000002E-5     69120.36643039418        -1.611135382333049E9     7.1513592231179E-31
2.375E-5                  69281.29582714882        -1.6074525527600784E9    7.133489495525278E-31
2.385E-5                  69441.85694094616        -1.6037697231871088E9    7.114904043308037E-31
2.395E-5                  69602.04977178625        -1.6000868936141374E9    7.098237856911023E-31
2.405E-5                  69761.87431966899        -1.5964040640411675E9    7.080880268206961E-31
2.415E-5                  69921.33058459449        -1.5927212344681973E9    7.064139383736873E-31
2.425E-5                  70080.41856656263        -1.589038404895227E9     7.0460518174809545E-31
2.435E-5                  70239.13826557349        -1.5853555753222554E9    7.028812239500345E-31
2.445E-5                  70397.48968162706        -1.5816727457492852E9    7.012897468566923E-31
2.455E-5                  70555.47281472335        -1.5779899161763139E9    6.996767903750942E-31
2.465E-5                  70713.08766486235        -1.5743070866033437E9    6.980840669493917E-31
2.4750000000000002E-5     70870.33423204406        -1.5706242570303702E9    6.964693965527049E-31
2.485E-5                  71027.21251626845        -1.5669414274574008E9    6.948610686363845E-31
2.495E-5                  71183.72251753551        -1.5632585978844333E9    6.933627807115423E-31
2.505E-5                  71339.86423584529        -1.5595757683114622E9    6.918833279314681E-31
2.5149999999999998E-5     71495.6376711978         -1.5558929387384903E9    6.903996751732636E-31
2.525E-5                  71651.04282359302        -1.5522101091655207E9    6.889107548386273E-31
2.5350000000000003E-5     71806.07969303094        -1.548527279592552E9     6.874111998301201E-31
2.5450000000000002E-5     71960.74827951154        -1.544844450019579E9     6.859163255981723E-31
2.555E-5                  72115.04858303486        -1.5411616204466102E9    6.8441320180677965E-31
2.565E-5                  72268.98060360085        -1.5374787908736372E9    6.829094552456429E-31
2.575E-5                  72422.54434120958        -1.533795961300667E9     6.813818450595924E-31
2.585E-5                  72575.739795861          -1.5301131317276952E9    6.79865341801931E-31
2.595E-5                  72728.5669675551         -1.5264303021547272E9    6.783235946164944E-31
2.605E-5                  72881.02585629193        -1.522747472581755E9     6.767911439640047E-31
2.615E-5                  73033.11646207143        -1.519064643008784E9     6.7524260455453275E-31
2.625E-5                  73184.83878489368        -1.515381813435814E9     6.737056834113071E-31
2.635E-5                  73336.19282475862        -1.5116989838628438E9    6.721740344862643E-31
2.6450000000000003E-5     73487.17858166626        -1.5080161542898748E9    6.7062666449286705E-31
2.655E-5                  73637.79605561658        -1.5043333247169032E9    6.69057231074537E-31
2.665E-5                  73788.04524660963        -1.5006504951439333E9    6.6749196469103824E-31
2.675E-5                  73937.92615464536        -1.496967665570961E9     6.6592009607894535E-31
