% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 9 2016, 15:08
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     8.74779535283355E7       -4.923104450216016E10    2.576388642277848E-20
1.5E-7                    8.748286523170042E7      -4.900302279627344E10    2.6043163542662437E-20
2.5E-7                    8.748775413289472E7      -4.8775001090365234E10   2.9176323494871714E-20
3.5E-7                    8.749262023191847E7      -4.8546979384484375E10   3.0063837311289924E-20
4.5E-7                    8.74974635287716E7       -4.8318957678603516E10   3.0930640413698715E-20
5.5E-7                    8.75022840234542E7       -4.8090935972708984E10   3.364697230328378E-20
6.5E-7                    8.750708171596618E7      -4.786291426683008E10    3.382012103290033E-20
7.5E-7                    8.751185660630758E7      -4.7634892560930664E10   3.5467251111849006E-20
8.5E-7                    8.75166086944784E7       -4.740687085505444E10    3.6117910980084116E-20
9.5E-7                    8.752132689153859E7      -4.704468739516757E10    3.795865510703589E-20
1.05E-6                   8.752602094502558E7      -4.683638234503174E10    3.8959772178841816E-20
1.15E-6                   8.75306941680076E7       -4.662807729489502E10    3.954690647730174E-20
1.25E-6                   8.753534656048456E7      -4.641977224476758E10    4.120725836078277E-20
1.3500000000000002E-6     8.75399781224565E7       -4.621146719462402E10    4.191151681430234E-20
1.4499999999999999E-6     8.754458885392351E7      -4.6003162144493164E10   4.323315543798429E-20
1.55E-6                   8.754917875488546E7      -4.5794857094353516E10   4.369810096246739E-20
1.65E-6                   8.755374782534239E7      -4.55865520442168E10     4.483545734480603E-20
1.75E-6                   8.755829606529428E7      -4.5378246994078125E10   4.490198353987625E-20
1.85E-6                   8.756282347474122E7      -4.516994194393555E10    4.574070397941225E-20
1.95E-6                   8.756733005368307E7      -4.496163689380664E10    4.6179375144180724E-20
2.0500000000000003E-6     8.757181580211994E7      -4.475333184366211E10    4.6458785619024795E-20
2.15E-6                   8.757628072005183E7      -4.454502679353516E10    4.6502956963996584E-20
2.25E-6                   8.758072480747867E7      -4.433672174340234E10    4.674401477526938E-20
2.35E-6                   8.75851480644005E7       -4.412841669325781E10    4.684123137087612E-20
2.45E-6                   8.758955049081734E7      -4.392011164313281E10    4.663393113192644E-20
2.55E-6                   8.759393208672911E7      -4.371180659299219E10    4.640744923110434E-20
2.65E-6                   8.759829285213591E7      -4.350350154284766E10    4.6175929556489436E-20
2.75E-6                   8.760263278703769E7      -4.3295196492703125E10   4.5942993840619277E-20
2.8500000000000002E-6     8.760695189143448E7      -4.308689144258203E10    4.5706151888250945E-20
2.95E-6                   8.761125016532618E7      -4.287858639243359E10    4.5472309669198605E-20
3.0500000000000004E-6     8.761552760871297E7      -4.267028134230078E10    4.5246460036760913E-20
3.15E-6                   8.761978422159463E7      -4.246197629216406E10    4.50152470763498E-20
3.25E-6                   8.762402000397135E7      -4.225367124203906E10    4.47780996640578E-20
3.35E-6                   8.762822541525535E7      -4.193744486636206E10    4.454315202831098E-20
3.45E-6                   8.763240777206407E7      -4.170969130877435E10    4.4288491298785765E-20
3.5500000000000003E-6     8.763656735351706E7      -4.1481937751153564E10   4.406827142161413E-20
3.65E-6                   8.76407216235373E7       -4.1901266291203125E10   4.3819989366980357E-20
3.75E-6                   8.764490205640887E7      -4.170739113959473E10    4.3574456647621086E-20
3.85E-6                   8.764906310176526E7      -4.151351598796387E10    4.333177315607639E-20
3.95E-6                   8.765321613702951E7      -4.164964946114258E10    4.310077144986053E-20
4.05E-6                   8.765736727569798E7      -4.137312390820508E10    4.2865711036034157E-20
4.15E-6                   8.766149076181115E7      -4.109659835525391E10    4.2629647625885924E-20
4.250000000000001E-6      8.766558659536901E7      -4.082007280232422E10    4.2377587173225685E-20
4.35E-6                   8.766964454243799E7      -4.017943277608594E10    4.213325704710586E-20
4.45E-6                   8.767365161921093E7      -3.996210268318555E10    4.1909940011815396E-20
4.5500000000000005E-6     8.767763696297461E7      -3.974477259029492E10    4.166094859410861E-20
4.6499999999999995E-6     8.768160057372901E7      -3.952744249739844E10    4.142427300684482E-20
4.75E-6                   8.768554245147409E7      -3.9310112404509766E10   4.1185089315790603E-20
4.85E-6                   8.768947626171675E7      -3.947250857928125E10    4.095253083256076E-20
4.950000000000001E-6      8.769341092661303E7      -3.9220789346916016E10   4.0713623691079403E-20
5.05E-6                   8.769732041958612E7      -3.8969070114572266E10   4.046750616237188E-20
5.15E-6                   8.770120474063592E7      -3.871735088222656E10    4.022745212502169E-20
5.2500000000000006E-6     8.77050638897626E7       -3.846563164986621E10    3.999420146805055E-20
5.35E-6                   8.770889786696595E7      -3.821391241751367E10    3.9769373531690105E-20
5.45E-6                   8.771270667224607E7      -3.7962193185171875E10   3.953011716995585E-20
