% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 8 2016, 11:20
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     2797809.2525353176       -6.304478015790645E11    3.2881854520552627E-16
1.5E-7                    2860696.5129683465       -6.272974070815312E11    3.3226460086846354E-16
2.5E-7                    2923268.7339516236       -6.241470125839983E11    3.7226190233131083E-16
3.5E-7                    2985525.9154851465       -6.209966180864663E11    3.834826349490657E-16
4.5E-7                    3047468.057568915        -6.17846223588933E11     3.9443159025657365E-16
5.5E-7                    3109095.160202933        -6.146958290914004E11    4.290699206835451E-16
6.5E-7                    3170407.2233871967       -6.115454345938682E11    4.31116098671236E-16
7.5E-7                    3231404.2471217075       -6.08395040096335E11     4.52041100342272E-16
8.5E-7                    3292086.2314064633       -6.052446455988029E11    4.601932318518945E-16
9.5E-7                    3352314.175654661        -6.004127091790803E11    4.835850088636859E-16
1.05E-6                   3412210.30792048         -5.975099361373145E11    4.962153001328903E-16
1.15E-6                   3471816.1628821236       -5.946071630955491E11    5.035353075554968E-16
1.25E-6                   3531131.74053959         -5.91704390053783E11     5.245972911430801E-16
1.3500000000000002E-6     3590157.0408928785       -5.888016170120168E11    5.334103961117372E-16
1.4499999999999999E-6     3648892.0639419938       -5.858988439702515E11    5.501295613982563E-16
1.55E-6                   3707336.8096869304       -5.829960709284851E11    5.558717850793303E-16
1.65E-6                   3765491.2781276912       -5.800932978867194E11    5.702239830679397E-16
1.75E-6                   3823355.4692642735       -5.771905248449535E11    5.708576570401091E-16
1.85E-6                   3880929.383096682        -5.742877518031876E11    5.813838838523169E-16
1.95E-6                   3938213.0196249117       -5.713849787614215E11    5.867867309530243E-16
2.0500000000000003E-6     3995206.3788489653       -5.684822057196554E11    5.901479049680436E-16
2.15E-6                   4051909.460768843        -5.6557943267789E11      5.904978631467867E-16
2.25E-6                   4108322.265384543        -5.626766596361243E11    5.933744076904907E-16
2.35E-6                   4164444.792696067        -5.597738865943582E11    5.94404418460618E-16
2.45E-6                   4220277.042703415        -5.56871113552592E11     5.915434548306792E-16
2.55E-6                   4275819.015406586        -5.539683405108264E11    5.884366949425223E-16
2.65E-6                   4331070.71080558         -5.5106556746906E11      5.85272055091229E-16
2.75E-6                   4386032.1289003985       -5.4816279442729443E11   5.82095097410602E-16
2.8500000000000002E-6     4440703.269691041        -5.452600213855288E11    5.788686237618474E-16
2.95E-6                   4495084.133177504        -5.423572483437622E11    5.756868512477433E-16
3.0500000000000004E-6     4549174.719359794        -5.394544753019966E11    5.726141631589983E-16
3.15E-6                   4602975.028237902        -5.365517022602302E11    5.694749769809943E-16
3.25E-6                   4656485.059811837        -5.336489292184656E11    5.662625499519043E-16
3.35E-6                   4709587.224312554        -5.294131966471339E11    5.630864319792683E-16
3.45E-6                   4762371.130238234        -5.2626492186649524E11   5.596639804619351E-16
3.5500000000000003E-6     4814840.208685851        -5.2311664708585547E11   5.566805715584575E-16
3.65E-6                   4867230.944250676        -5.287459236480375E11    5.533464473086988E-16
3.75E-6                   4919976.65440904         -5.261682795192232E11    5.500523001623827E-16
3.85E-6                   4972464.600154521        -5.235906353904109E11    5.468000960324224E-16
3.95E-6                   5024843.784864747        -5.253365055772851E11    5.436942078757828E-16
4.05E-6                   5077194.911336453        -5.2168602385681305E11   5.405476987259658E-16
4.15E-6                   5129180.989636107        -5.1803554213634094E11   5.373910848595618E-16
4.250000000000001E-6      5180802.019763721        -5.1438506041586707E11   5.340303288917308E-16
4.35E-6                   5231925.108842715        -5.060078605606907E11    5.307754890778854E-16
4.45E-6                   5282382.348790041        -5.0313693838589746E11   5.277945991280443E-16
4.5500000000000005E-6     5332552.4965198925       -5.00266016211104E11     5.244848208607576E-16
4.6499999999999995E-6     5382435.552032263        -4.9739509403630884E11   5.213363578397619E-16
4.75E-6                   5432031.515327152        -4.945241718615137E11    5.181628492370837E-16
4.85E-6                   5481516.038182345        -4.96533745924869E11     5.150714355227695E-16
4.950000000000001E-6      5531003.659172535        -4.932186738789601E11    5.119042350419141E-16
5.05E-6                   5580159.772958136        -4.899036018330513E11    5.08648254386506E-16
5.15E-6                   5628984.379539144        -4.8658852978714343E11   5.054706593913557E-16
5.2500000000000006E-6     5677477.478915565        -4.8327345774123535E11   5.023864539782441E-16
