% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 7 2016, 21:16
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rho * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     338.3764166311734        -5.768985773428783E9     1.2159414590332296E-26
1.5E-7                    912.2578612062503        -5.708643118072761E9     1.2209812825142934E-26
2.5E-7                    1480.105040245725        -5.648300462716741E9     1.369780996008447E-26
3.5E-7                    2041.9179537495986       -5.587957807360718E9     1.4043042335899772E-26
4.5E-7                    2597.6966017178684       -5.527615152004697E9     1.437642498398898E-26
5.5E-7                    3147.4409841505376       -5.467272496648676E9     1.5642693756855997E-26
6.5E-7                    3691.151101047605        -5.406929841292655E9     1.5611199675807855E-26
7.5E-7                    4228.82695240907         -5.346587185936634E9     1.6325544141381474E-26
8.5E-7                    4760.468538234931        -5.286244530580614E9     1.6528651316534674E-26
9.5E-7                    5287.041603852927        -5.238544070338814E9     1.7335120776739407E-26
1.05E-6                   5807.91557511369         -5.1789353548764715E9    1.7711978293357228E-26
1.15E-6                   6322.828674828219        -5.119326639414131E9     1.7872838071809708E-26
1.25E-6                   6831.780902996519        -5.059717923951791E9     1.8576133817233066E-26
1.3500000000000002E-6     7334.772259618578        -5.0001092084894495E9    1.8803167804741458E-26
1.4499999999999999E-6     7831.802744694407        -4.940500493027109E9     1.9339122391601068E-26
1.55E-6                   8322.872358224           -4.880891777564768E9     1.944966431287728E-26
1.65E-6                   8807.98110020736         -4.821283062102427E9     1.9895055893659764E-26
1.75E-6                   9287.128970644484        -4.761674346640085E9     1.980804768425923E-26
1.85E-6                   9760.315969535379        -4.702065631177744E9     2.0113025441554784E-26
1.95E-6                   10227.542096880035       -4.642456915715404E9     2.0224914140425845E-26
2.0500000000000003E-6     10688.80735267846        -4.582848200253061E9     2.0252433225593019E-26
2.15E-6                   11144.111736930645       -4.523239484790723E9     2.0171739412500242E-26
2.25E-6                   11593.455249636603       -4.463630769328382E9     2.0200561943019175E-26
2.35E-6                   12036.837890796322       -4.404022053866039E9     2.015051713514075E-26
2.45E-6                   12474.25966040981        -4.344413338403698E9     1.9965764392667526E-26
2.55E-6                   12905.720558477067       -4.2848046229413567E9    1.976567670107515E-26
2.65E-6                   13331.22058499808        -4.2251959074790173E9    1.9577812197550218E-26
2.75E-6                   13750.75973997287        -4.165587192016675E9     1.9399999254958872E-26
2.8500000000000002E-6     14164.338023401422       -4.1059784765543346E9    1.9212253146261607E-26
2.95E-6                   14571.955435283733       -4.0463697610919924E9    1.9041752809570848E-26
3.0500000000000004E-6     14973.611975619824       -3.986761045629652E9     1.8881557072276002E-26
3.15E-6                   15369.307644409659       -3.9271523301673117E9    1.8718113048015735E-26
3.25E-6                   15759.042441653275       -3.8675436147049704E9    1.8556612231142928E-26
3.35E-6                   16142.603359931136       -3.8044590784559107E9    1.8411344007395456E-26
3.45E-6                   16519.93702775561        -3.7422142780337124E9    1.8263796742734446E-26
3.5500000000000003E-6     16891.046215537874       -3.6799694776115103E9    1.8117480982246777E-26
3.65E-6                   17267.285684734903       -4.0409193884188204E9    1.7980753182662287E-26
3.75E-6                   17670.27629354528        -4.018892787788761E9     1.784451306115421E-26
