% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 7 2016, 23:08
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rhobead * beta * hbar_const * c_const / m) (J/m)
5.0000000000000004E-8     1774.9903948936371       -1.7943564027562656E10   8.955928065682822E-16
1.5E-7                    3560.5075115757736       -1.776677830608007E10    8.999961352140193E-16
2.5E-7                    5328.346056109653        -1.758999258459749E10    1.00949641262059E-15
3.5E-7                    7078.5060284952715       -1.74132068631149E10     1.035549337096235E-15
4.5E-7                    8810.987428732631        -1.7236421141632313E10   1.0607350632954247E-15
5.5E-7                    10525.790256821732       -1.7059635420149727E10   1.1541087930285362E-15
6.5E-7                    12222.914512762582       -1.688284969866714E10    1.1527520927867467E-15
7.5E-7                    13902.360196555162       -1.6706063977184555E10   1.2058838274255947E-15
8.5E-7                    15564.127308199486       -1.6529278255701967E10   1.2217242664398471E-15
9.5E-7                    17210.122787054028       -1.6378029627945625E10   1.2816189025310163E-15
1.05E-6                   18839.2323722407         -1.6204162075787954E10   1.3101629521756169E-15
1.15E-6                   20450.95520221162        -1.6030294523630281E10   1.3229835687333959E-15
1.25E-6                   22045.291276966775       -1.5856426971472607E10   1.3754337535645584E-15
1.3500000000000002E-6     23622.24059650614        -1.5682559419314936E10   1.3930033925275714E-15
1.4499999999999999E-6     25181.803160829753       -1.5508691867157265E10   1.4331880914464527E-15
1.55E-6                   26723.978969937594       -1.533482431499959E10    1.442195506957309E-15
1.65E-6                   28248.768023829674       -1.5160956762841919E10   1.4757237163268261E-15
1.75E-6                   29756.170322505972       -1.4987089210684246E10   1.4702504250501776E-15
1.85E-6                   31246.185865966523       -1.4813221658526573E10   1.4934157125906623E-15
1.95E-6                   32718.814654211295       -1.46393541063689E10     1.5023765169267746E-15
2.0500000000000003E-6     34174.05668724029        -1.4465486554211226E10   1.5052047942027036E-15
2.15E-6                   35611.911965053536       -1.429161900205356E10    1.500024409164176E-15
2.25E-6                   37032.380487651004       -1.4117751449895885E10   1.5027596927885876E-15
2.35E-6                   38435.462255032704       -1.3943883897738207E10   1.4997845096909421E-15
2.45E-6                   39821.15726719866        -1.3770016345580534E10   1.4867868454769503E-15
2.55E-6                   41189.465524148836       -1.3596148793422861E10   1.4727265947530349E-15
2.65E-6                   42540.38702588322        -1.3422281241265194E10   1.4594240619813072E-15
2.75E-6                   43873.92177240187        -1.3248413689107513E10   1.446760612932978E-15
2.8500000000000002E-6     45190.06976370474        -1.3074546136949846E10   1.4334541980416911E-15
2.95E-6                   46488.830999791826       -1.2900678584792171E10   1.4212602498905912E-15
3.0500000000000004E-6     47770.205480663186       -1.2726811032634499E10   1.4097720108447946E-15
3.15E-6                   49034.19320631871        -1.255294348047683E10    1.3980576564392474E-15
3.25E-6                   50280.79417675853        -1.2379075928319157E10   1.3864381986134466E-15
3.35E-6                   51509.09220558001        -1.2191839248428272E10   1.3758768594210297E-15
3.45E-6                   52719.17907470766        -1.2009898134124756E10   1.3650841732674793E-15
3.5500000000000003E-6     53911.07183240495        -1.1827957019821224E10   1.3545416861190284E-15
3.65E-6                   55116.34914036796        -1.2823049215326899E10   1.3444795301623714E-15
3.75E-6                   56395.182254755986       -1.275361307243357E10    1.3344735623448103E-15
3.85E-6                   57667.07175485469        -1.268417692954026E10    1.3252155279337E-15
3.95E-6                   58937.8102574815         -1.278457038784286E10    1.3152313384364136E-15
4.05E-6                   60211.238692934916       -1.2683998321225624E10   1.3068873779297546E-15
4.15E-6                   61474.6099217266         -1.258342625460841E10    1.2982446040452516E-15
4.250000000000001E-6      62727.92394385661        -1.2482854187991182E10   1.2887825445044565E-15
4.35E-6                   63970.23114447102        -1.2351155002941078E10   1.2807132293502712E-15
4.45E-6                   65201.56000057942        -1.227542211922779E10    1.2732745361916963E-15
4.5500000000000005E-6     66425.31556831655        -1.2199689235514477E10   1.2646152237554304E-15
4.6499999999999995E-6     67641.49784768233        -1.2123956351801155E10   1.256773136177632E-15
4.75E-6                   68850.10683867677        -1.2048223468087835E10   1.2496153508750105E-15
4.85E-6                   70055.599845935          -1.209630417328663E10    1.2418054581742554E-15
4.950000000000001E-6      71260.87079340903        -1.2009114776194807E10   1.2343221344780187E-15
5.05E-6                   72457.42280117395        -1.1921925379103004E10   1.2267055232097464E-15
5.15E-6                   73645.25586922962        -1.1834735982011185E10   1.2190512492149666E-15
5.2500000000000006E-6     74824.3699975762         -1.1747546584919373E10   1.212440817145707E-15
5.35E-6                   75994.76518621352        -1.166035718782756E10    1.2053479089593616E-15
5.45E-6                   77156.44143514169        -1.1573167790735752E10   1.1982821856421742E-15
5.55E-6                   78309.39874436067        -1.1485978393643938E10   1.1915434270705441E-15
5.65E-6                   79453.63711387047        -1.1398788996552124E10   1.1844964060555585E-15
5.75E-6                   80589.1565436711         -1.1311599599460304E10   1.177344971634579E-15
5.85E-6                   81715.95703376255        -1.1224410202368484E10   1.1701544724192075E-15
5.950000000000001E-6      82834.03858414482        -1.113722080527668E10    1.1632342918438123E-15
6.05E-6                   83943.4011948179         -1.1050031408184856E10   1.1555102824125682E-15
6.15E-6                   85044.04486578178        -1.0962842011093037E10   1.1480374304137996E-15
6.25E-6                   86135.96959703648        -1.0875652614001228E10   1.1404862645331989E-15
6.35E-6                   87219.17538858204        -1.0788463216909424E10   1.1329184214874224E-15
6.45E-6                   88293.66224041839        -1.0701273819817604E10   1.1253969191428055E-15
6.550000000000001E-6      89359.43015254555        -1.0614084422725796E10   1.1181062993037257E-15
6.65E-6                   90416.47912496353        -1.052689502563398E10    1.110901925740363E-15
6.75E-6                   91464.80915767234        -1.0439705628542181E10   1.103812456059372E-15
6.8500000000000005E-6     92504.42025067196        -1.0352516231450357E10   1.0967983557767056E-15
6.9499999999999995E-6     93535.31240396244        -1.0265326834358545E10   1.0898223454652343E-15
7.05E-6                   94557.62260549625        -1.0189692311115429E10   1.0828410084864533E-15
7.15E-6                   95574.09017109935        -1.0139659000947075E10   1.0759133293315342E-15
7.250000000000001E-6      96585.55440568567        -1.008962569077875E10    1.0691055269459179E-15
7.35E-6                   97592.0153092551         -1.0039592380610397E10   1.062547182023802E-15
7.45E-6                   98593.47288180773        -9.98955907044207E9      1.0558637436197233E-15
7.5500000000000006E-6     99589.92712334354        -9.93952576027372E9      1.0493377772381E-15
7.65E-6                   100581.37803386248       -9.889492450105381E9     1.0430236025544693E-15
7.75E-6                   101567.82561336464       -9.839459139937042E9     1.036574186193472E-15
7.85E-6                   102549.26986184988       -9.7894258297687E9       1.0303665644612485E-15
7.95E-6                   103525.71077931834       -9.73939251960036E9      1.0243355283946525E-15
8.050000000000001E-6      104497.14836576997       -9.689359209432013E9     1.0181785832261914E-15
8.15E-6                   105463.58262120477       -9.639325899263664E9     1.0123485936093806E-15
8.25E-6                   106425.01354562276       -9.589292589095331E9     1.006476664086723E-15
8.35E-6                   107381.44113902381       -9.539259278926983E9     1.0006564544593023E-15
8.449999999999999E-6      108332.8654014081        -9.489225968758642E9     9.951443877819034E-16
8.550000000000001E-6      109279.28633277552       -9.439192658590302E9     9.896555938223792E-16
8.65E-6                   110220.70393312616       -9.389159348421963E9     9.84190099581096E-16
8.750000000000001E-6      111157.11820245997       -9.339126038253616E9     9.786538649451354E-16
8.85E-6                   112088.52914077687       -9.289092728085281E9     9.734526876881202E-16
8.949999999999999E-6      113014.93674807699       -9.239059417916931E9     9.682770714783884E-16
9.050000000000001E-6      113936.34102436031       -9.189026107748594E9     9.631149186842387E-16
9.15E-6                   114852.7419696267        -9.138992797580252E9     9.579906201809182E-16
9.25E-6                   115764.13958387636       -9.088959487411911E9     9.529316971638734E-16
9.35E-6                   116670.5338671091        -9.038926177243565E9     9.479691172009068E-16
9.450000000000001E-6      117571.92481932504       -8.98889286707523E9      9.430954676680588E-16
9.55E-6                   118468.31244052414       -8.938859556906887E9     9.38139888035366E-16
9.65E-6                   119359.6967307064        -8.888826246738548E9     9.33109979872747E-16
9.75E-6                   120246.07768987189       -8.838792936570206E9     9.282302223958992E-16
9.849999999999999E-6      121127.45531802045       -8.788759626401857E9     9.233886335814676E-16
9.950000000000001E-6      122003.82961515218       -8.73872631623352E9      9.18656169118182E-16
1.005E-5                  122875.20058126717       -8.688693006065184E9     9.137217399348226E-16
1.015E-5                  123741.56821636528       -8.638659695896843E9     9.089844010478933E-16
1.025E-5                  124603.8063914087        -8.600622518543314E9     9.042174140755375E-16
1.0350000000000001E-5     125461.61781300012       -8.555605913285941E9     8.995211823203216E-16
1.045E-5                  126314.92757406589       -8.510589308028563E9     8.948805086068203E-16
1.055E-5                  127163.73567460592       -8.46557270277119E9      8.901174892735918E-16
1.065E-5                  128011.51701237203       -8.460107068861401E9     8.855407328708215E-16
1.0749999999999999E-5     128855.50424558001       -8.419637595298542E9     8.807016044769791E-16
1.0850000000000001E-5     129695.4445314318        -8.379168121735693E9     8.759799405223495E-16
1.095E-5                  130531.3378699272        -8.338698648172836E9     8.713324840646278E-16
1.1050000000000001E-5     131363.18426106634       -8.298229174609993E9     8.666832875157796E-16
1.115E-5                  132190.98370484926       -8.257759701047136E9     8.619864236051248E-16
1.1249999999999999E-5     133014.73620127572       -8.21729022748428E9      8.57292036204717E-16
1.1350000000000001E-5     133834.44175034607       -8.176820753921431E9     8.528138276617525E-16
1.145E-5                  134650.1003520601        -8.136351280358576E9     8.482204822087272E-16
1.155E-5                  135461.71200641777       -8.095881806795738E9     8.437850232867075E-16
1.165E-5                  136269.27671341924       -8.055412333232875E9     8.393099724965954E-16
1.1750000000000001E-5     137072.79447306434       -8.014942859670027E9     8.348554897174058E-16
1.185E-5                  137872.26528535323       -7.974473386107163E9     8.30565403338372E-16
1.195E-5                  138667.68915028582       -7.934003912544315E9     8.262240902984647E-16
1.205E-5                  139459.0660678621        -7.893534438981467E9     8.219203541559583E-16
1.2149999999999999E-5     140246.39603808208       -7.853064965418612E9     8.178297120283641E-16
1.2250000000000001E-5     141029.6790609458        -7.812595491855762E9     8.136138216877749E-16
1.235E-5                  141808.91513645323       -7.772126018292894E9     8.094136017785118E-16
1.245E-5                  142584.10426460436       -7.73165654473005E9      8.054865195323562E-16
1.255E-5                  143355.2464453993        -7.691187071167204E9     8.013761207627977E-16
1.2650000000000001E-5     144122.34167883784       -7.650717597604346E9     7.974506749883695E-16
1.275E-5                  144885.3899649201        -7.610248124041492E9     7.937223269351304E-16
1.285E-5                  145644.39130364615       -7.56977865047865E9      7.899046254071661E-16
1.295E-5                  146399.34569501583       -7.529309176915804E9     7.858730586008103E-16
1.305E-5                  147134.00984329937       -7.308939203777367E9     7.823154580157793E-16
1.3150000000000001E-5     147863.81824032363       -7.287228736708349E9     7.787834227460005E-16
1.325E-5                  148591.45559064107       -7.265518269639355E9     7.750130867422675E-16
1.3350000000000001E-5     149316.92189425154       -7.243807802570349E9     7.714483504475968E-16
1.345E-5                  150040.2171511551        -7.222097335501346E9     7.682338167424956E-16
1.3549999999999999E-5     150761.34136135178       -7.200386868432339E9     7.647421683547227E-16
1.3650000000000001E-5     151480.29452484156       -7.178676401363335E9     7.613593136420344E-16
1.375E-5                  152197.07664162444       -7.1569659342943325E9    7.58071274041877E-16
1.385E-5                  152911.68771170042       -7.135255467225313E9     7.549047458889943E-16
1.395E-5                  153624.12773506952       -7.113545000156308E9     7.517777978545735E-16
1.4050000000000001E-5     154334.39671173174       -7.091834533087309E9     7.486521325932424E-16
1.415E-5                  155042.49464168702       -7.070124066018307E9     7.456506321208927E-16
1.425E-5                  155748.42152493534       -7.04841359894931E9      7.427273419176768E-16
1.435E-5                  156452.17736147688       -7.0267031318803005E9    7.397987841332045E-16
1.4449999999999999E-5     157153.76215131144       -7.004992664811287E9     7.370299223865098E-16
1.4550000000000001E-5     157853.17589443913       -6.983282197742285E9     7.341488795337079E-16
1.465E-5                  158550.41859085986       -6.961571730673277E9     7.314717604511452E-16
1.475E-5                  159245.49024057374       -6.939861263604272E9     7.288050556626413E-16
1.485E-5                  159938.3908435807        -6.91815079653527E9      7.261812157467602E-16
1.4950000000000001E-5     160629.12039988083       -6.896440329466268E9     7.236462109234597E-16
1.505E-5                  161317.678909474         -6.874729862397263E9     7.211732181397246E-16
1.515E-5                  162004.06637236028       -6.853019395328262E9     7.187728033391352E-16
1.525E-5                  162688.28278853965       -6.831308928259245E9     7.163307362377826E-16
1.535E-5                  163370.32815801213       -6.809598461190233E9     7.140335166368273E-16
1.545E-5                  164050.2024807777        -6.787887994121235E9     7.11803480783143E-16
1.555E-5                  164727.90575683632       -6.766177527052221E9     7.095775573590247E-16
1.565E-5                  165403.43798618816       -6.744467059983219E9     7.073402305868114E-16
1.575E-5                  166076.79916883295       -6.722756592914219E9     7.051061487815104E-16
1.585E-5                  166747.98930477095       -6.701046125845209E9     7.02875002879986E-16
1.5949999999999998E-5     167417.008394002         -6.679335658776207E9     7.006514537709697E-16
1.6049999999999997E-5     168083.85643652623       -6.657625191707207E9     6.984203950290664E-16
1.6150000000000003E-5     168748.53343234357       -6.6359147246382065E9    6.962044932980333E-16
1.6250000000000002E-5     169410.64160200357       -6.605191289536468E9     6.939768066696106E-16
1.635E-5                  170070.1518665357        -6.585014001107437E9     6.917488871401245E-16
1.645E-5                  170727.644402225         -6.564836712678392E9     6.89539265469903E-16
1.655E-5                  171383.11920907145       -6.544659424249361E9     6.873160526899963E-16
1.665E-5                  172036.57628707495       -6.524482135820317E9     6.850924986002736E-16
1.675E-5                  172688.0156362355        -6.504304847391283E9     6.828679972251928E-16
1.685E-5                  173337.43725655315       -6.484127558962238E9     6.806503988914085E-16
1.695E-5                  173984.84114802792       -6.463950270533213E9     6.784345922265269E-16
1.705E-5                  174630.22731065983       -6.443772982104176E9     6.76222063982281E-16
1.715E-5                  175273.5957444488        -6.423595693675138E9     6.740083453291803E-16
1.7250000000000003E-5     175914.94644939486       -6.4034184052460985E9    6.717868141455227E-16
1.735E-5                  176554.27942549798       -6.383241116817069E9     6.695678285043861E-16
1.745E-5                  177191.59467275828       -6.363063828388023E9     6.673595028615495E-16
1.755E-5                  177826.8921911756        -6.342886539958986E9     6.651534524685841E-16
1.765E-5                  178460.17198075002       -6.322709251529949E9     6.629447071971818E-16
1.7749999999999998E-5     179091.4340414816        -6.30253196310091E9      6.607357294471872E-16
1.785E-5                  179720.67837337023       -6.282354674671876E9     6.585247073400462E-16
1.7950000000000003E-5     180347.904976416         -6.26217738624283E9      6.56310321446449E-16
1.805E-5                  180973.1138506188        -6.242000097813797E9     6.541003417363328E-16
1.815E-5                  181596.30499597875       -6.221822809384775E9     6.518895440821848E-16
1.825E-5                  182217.4784124957        -6.201645520955733E9     6.4967912190172345E-16
1.8350000000000002E-5     182836.63410016985       -6.181468232526691E9     6.474629171851271E-16
1.845E-5                  183453.77205900112       -6.16129094409765E9      6.452565348949096E-16
1.855E-5                  184068.89228898945       -6.141113655668623E9     6.430462982922638E-16
1.865E-5                  184681.9947901348        -6.120936367239571E9     6.408288842812721E-16
1.875E-5                  185293.0795624373        -6.100759078810554E9     6.386115946585606E-16
1.8849999999999997E-5     185902.14660589694       -6.080581790381517E9     6.363907886262276E-16
1.8950000000000003E-5     186509.19592051365       -6.060404501952465E9     6.341730806737242E-16
1.9050000000000002E-5     187114.22750628745       -6.040227213523436E9     6.31944501282697E-16
1.915E-5                  187717.24136321832       -6.0200499250943985E9    6.297175967044275E-16
1.925E-5                  188318.23749130624       -5.999872636665359E9     6.274915525612681E-16
1.935E-5                  188917.21589055142       -5.979695348236323E9     6.252611547422983E-16
1.945E-5                  189514.1765609535        -5.959518059807291E9     6.230260267063312E-16
1.955E-5                  190109.11950251288       -5.939340771378246E9     6.207938817140883E-16
1.965E-5                  190702.04471522925       -5.919163482949207E9     6.185546278544824E-16
1.975E-5                  191292.9521991027        -5.898986194520166E9     6.163079849206498E-16
1.985E-5                  191881.84195413327       -5.878808906091121E9     6.140537485247998E-16
1.995E-5                  192468.7139803209        -5.858631617662109E9     6.118396837766608E-16
2.005E-5                  193053.56827766573       -5.838454329233066E9     6.098225424479407E-16
2.0150000000000002E-5     193636.4048461675        -5.818277040804016E9     6.076881619541084E-16
2.025E-5                  194217.2236858265        -5.798099752374984E9     6.055646323967134E-16
2.035E-5                  194796.02479664257       -5.777922463945946E9     6.034680579903212E-16
2.045E-5                  195372.80817861564       -5.757745175516915E9     6.013434177070899E-16
2.0549999999999998E-5     195947.5738317459        -5.737567887087877E9     5.993148965664069E-16
2.065E-5                  196520.32175603329       -5.71739059865884E9      5.972948536875073E-16
2.0750000000000003E-5     197091.0519514777        -5.697213310229807E9     5.951782028282549E-16
2.0850000000000002E-5     197659.76441807926       -5.677036021800759E9     5.931796695663312E-16
2.095E-5                  198226.45915583783       -5.65685873337173E9      5.91228358830974E-16
2.105E-5                  198791.1361647536        -5.636681444942687E9     5.892654822829692E-16
2.115E-5                  199353.7954448264        -5.616504156513665E9     5.872222105305945E-16
2.125E-5                  199914.43699605632       -5.596326868084614E9     5.853211014887804E-16
2.135E-5                  200473.0608184433        -5.576149579655588E9     5.834217468228069E-16
2.145E-5                  201029.66691198735       -5.555972291226559E9     5.814455409215377E-16
2.155E-5                  201584.2552766886        -5.535795002797514E9     5.79626542827249E-16
2.165E-5                  202136.8259125469        -5.515617714368481E9     5.777466114637088E-16
2.175E-5                  202687.37881956226       -5.495440425939444E9     5.758985442273226E-16
2.1850000000000003E-5     203236.71652577788       -5.48213800906966E9      5.740368179005876E-16
2.195E-5                  203783.79960124803       -5.459523500333208E9     5.723182619777324E-16
2.205E-5                  204328.62122584454       -5.43690899159677E9      5.705226966676886E-16
2.215E-5                  204871.18139956743       -5.414294482860323E9     5.688190550827368E-16
2.225E-5                  205411.48012241666       -5.391679974123894E9     5.670581456344055E-16
2.2349999999999998E-5     205949.51739439214       -5.369065465387453E9     5.654251640650254E-16
2.245E-5                  206482.32549864714       -5.293368316435178E9     5.636471834818986E-16
2.2550000000000003E-5     207011.20393694207       -5.284200449461889E9     5.620818125090545E-16
2.265E-5                  207539.16558853956       -5.275032582488615E9     5.605324497413543E-16
2.275E-5                  208066.2104534398        -5.265864715515323E9     5.588571695138648E-16
2.285E-5                  208592.3385316427        -5.256696848542057E9     5.573525173573165E-16
2.2950000000000002E-5     209117.54982314815       -5.247528981568772E9     5.557531587081973E-16
2.305E-5                  209641.84432795638       -5.238361114595499E9     5.542639394262759E-16
2.315E-5                  210166.1669559778        -5.278042246416616E9     5.526408574043288E-16
2.325E-5                  210693.36835931297       -5.265985820288332E9     5.511981470399085E-16
2.335E-5                  211219.36412003543       -5.253929394160046E9     5.498493823468914E-16
2.345E-5                  211744.15423814498       -5.241872968031749E9     5.482639482458321E-16
2.3550000000000003E-5     212267.73871364183       -5.229816541903466E9     5.468884056173178E-16
2.3650000000000002E-5     212790.11754652578       -5.217760115775169E9     5.454975048554744E-16
2.375E-5                  213311.2907367968        -5.205703689646875E9     5.441185460105882E-16
2.385E-5                  213831.25828445508       -5.193647263518595E9     5.426840044808855E-16
2.395E-5                  214350.02018950056       -5.181590837390295E9     5.41398556177252E-16
2.405E-5                  214867.57645193313       -5.169534411262015E9     5.400595538146968E-16
2.415E-5                  215383.92707175296       -5.157477985133726E9     5.387683454819806E-16
2.425E-5                  215899.07204895988       -5.14542155900543E9      5.373724901834684E-16
2.435E-5                  216413.011383554         -5.133365132877145E9     5.36042668751736E-16
2.445E-5                  216925.74507553532       -5.121308706748856E9     5.348157008202104E-16
2.455E-5                  217437.27312490376       -5.109252280620562E9     5.335720016818502E-16
2.465E-5                  217947.59553165938       -5.097195854492266E9     5.323440577757414E-16
2.4750000000000002E-5     218456.7122958023        -5.085139428363975E9     5.310990604433885E-16
2.485E-5                  218964.6234173323        -5.073083002235687E9     5.298589111403564E-16
2.495E-5                  219471.32889624935       -5.061026576107406E9     5.287042577833773E-16
2.505E-5                  219976.82873255364       -5.048970149979111E9     5.275642463858684E-16
2.5149999999999998E-5     220481.12292624518       -5.036913723850819E9     5.264209684767708E-16
2.525E-5                  220984.2114773239        -5.024857297722525E9     5.252736140149528E-16
2.5350000000000003E-5     221486.0943857898        -5.012800871594241E9     5.24117998186417E-16
2.5450000000000002E-5     221986.77165164275       -5.00074444546595E9      5.229660151160103E-16
2.555E-5                  222486.243274883         -4.988688019337659E9     5.21807642955366E-16
2.565E-5                  222984.50925551026       -4.976631593209364E9     5.206487881423424E-16
2.575E-5                  223481.5695935248        -4.964575167081081E9     5.194714016131688E-16
2.585E-5                  223977.42428892647       -4.952518740952784E9     5.183026543575735E-16
2.595E-5                  224472.07334171535       -4.940462314824501E9     5.17114305778751E-16
2.605E-5                  224965.51675189144       -4.928405888696198E9     5.159331685978358E-16
2.615E-5                  225457.75451945452       -4.916349462567911E9     5.147395343226987E-16
2.625E-5                  225948.786644405         -4.904293036439623E9     5.135549372862576E-16
2.635E-5                  226438.61312674254       -4.892236610311335E9     5.123744473375014E-16
2.6450000000000003E-5     226927.2339664672        -4.880180184183043E9     5.111817526691087E-16
2.655E-5                  227414.6491635791        -4.868123758054756E9     5.099719156889018E-16
2.665E-5                  227900.8587180782        -4.856067331926472E9     5.087653224869784E-16
2.675E-5                  228385.86262996442       -4.844010905798171E9     5.07553600850914E-16
2.685E-5                  228869.6608992378        -4.831954479669878E9     5.063410972459046E-16
2.695E-5                  229352.2535258984        -4.819898053541594E9     5.051289630376545E-16
2.705E-5                  229833.64050994616       -4.8078416274133E9       5.039097410542787E-16
2.7150000000000003E-5     230313.82185138107       -4.795785201285011E9     5.026903620653344E-16
2.725E-5                  230792.7975502031        -4.783728775156721E9     5.014712717804872E-16
2.735E-5                  231270.56760641237       -4.771672349028436E9     5.002405559767127E-16
2.745E-5                  231747.13202000884       -4.759615922900142E9     4.990091284387374E-16
2.7550000000000002E-5     232222.4907909924        -4.747559496771853E9     4.977716689003218E-16
2.765E-5                  232696.64391936318       -4.73550307064356E9      4.965363845964912E-16
2.775E-5                  233169.59140512114       -4.723446644515277E9     4.952972874531871E-16
2.785E-5                  233641.33324826628       -4.711390218386977E9     4.940569584950119E-16
2.795E-5                  234111.8694487985        -4.699333792258684E9     4.928153043985316E-16
2.805E-5                  234581.20000671796       -4.687277366130401E9     4.915694801660551E-16
2.8150000000000003E-5     235049.3249220246        -4.675220940002112E9     4.903198791878103E-16
2.8250000000000002E-5     235516.2441947184        -4.66316451387382E9      4.89070369647889E-16
2.835E-5                  235981.95782479938       -4.651108087745523E9     4.878174627529753E-16
2.845E-5                  236446.4658122675        -4.639051661617242E9     4.865642580636572E-16
2.855E-5                  236909.7681571229        -4.626995235488945E9     4.853038726570013E-16
2.865E-5                  237371.86485936528       -4.614938809360661E9     4.84043849808853E-16
2.875E-5                  237832.75591899492       -4.602882383232366E9     4.827827222311579E-16
2.885E-5                  238292.44133601178       -4.590825957104078E9     4.815220711104575E-16
2.895E-5                  238750.92111041577       -4.578769530975785E9     4.802628169281698E-16
2.905E-5                  239208.19524220692       -4.566713104847492E9     4.790015854486561E-16
2.915E-5                  239664.26373138523       -4.554656678719208E9     4.777395747601662E-16
2.9250000000000003E-5     240119.12657795075       -4.542600252590912E9     4.7648239879480835E-16
2.9350000000000002E-5     240572.78378190342       -4.530543826462631E9     4.752199656441454E-16
2.945E-5                  241025.23534324323       -4.518487400334333E9     4.739571595527694E-16
2.955E-5                  241476.4812619703        -4.506430974206045E9     4.727009345713136E-16
2.965E-5                  241926.5215380845        -4.494374548077757E9     4.714470530983755E-16
2.9749999999999998E-5     242375.35617158582       -4.482318121949469E9     4.701925024032445E-16
2.985E-5                  242822.9851624744        -4.470261695821173E9     4.689447229233471E-16
2.9950000000000003E-5     243269.4085107501        -4.458205269692882E9     4.676955885580405E-16
3.0050000000000002E-5     243714.62621641296       -4.44614884356459E9      4.664500494122325E-16
3.015E-5                  244158.638279463         -4.434092417436298E9     4.652127329029405E-16
3.025E-5                  244601.4446999002        -4.422035991308016E9     4.639742976331778E-16
3.035E-5                  245043.04547772458       -4.409979565179726E9     4.627409979975358E-16
3.045E-5                  245483.4406129361        -4.397923139051429E9     4.615187889450339E-16
3.0550000000000004E-5     245922.63010553486       -4.385866712923143E9     4.602919243845146E-16
