      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 22.500   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400   3.000 300.000   -8.378e-06    1.744e-13   -1.627e-06    0.000e+00    0
 25.000   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   2.500 300.000   -4.601e-06    1.081e-13   -8.221e-07    0.000e+00    0
 25.000   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   3.000 300.000   -5.482e-06    1.744e-13   -9.463e-07    0.000e+00    0
 25.000   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400   2.500 300.000   -4.601e-06    1.081e-13   -8.221e-07    0.000e+00    0
 25.000   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   2.000 300.000   -2.066e-06    8.226e-14   -4.067e-07    0.000e+00    0
 27.500   0.300   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   2.500 300.000   -2.889e-06    1.037e-13   -4.922e-07    0.000e+00    0
 27.500   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   2.500   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
