      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 17.500   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   2.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400  10.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   2.000   0.000   -1.413e-07    1.234e-09   -2.650e-08    9.208e-11    0
 30.000   0.400  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   3.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
