      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 22.500   0.300  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300   2.000 300.000   -3.600e-06    1.018e-15   -7.244e-07    0.000e+00    0
 22.500   0.300  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400  10.000 300.000   -1.092e-05    1.133e-14   -1.699e-06    0.000e+00    0
 22.500   0.400  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400   2.000 300.000   -3.576e-06    3.186e-15   -7.135e-07    0.000e+00    0
 22.500   0.400  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.400   3.000 300.000   -5.058e-06    1.469e-14   -9.705e-07    0.000e+00    0
 22.500   0.400   5.000 300.000   -7.536e-06    1.426e-15   -1.330e-06    0.000e+00    0
 25.000   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400  10.000 300.000   -7.508e-06    1.133e-14   -1.081e-06    0.000e+00    0
 25.000   0.400  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400   2.000 300.000   -2.202e-06    3.186e-15   -4.073e-07    0.000e+00    0
 25.000   0.400  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.400   3.000 300.000   -3.187e-06    1.469e-14   -5.670e-07    0.000e+00    0
 25.000   0.400   5.000 300.000   -4.920e-06    1.426e-15   -8.084e-07    0.000e+00    0
 27.500   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400  10.000 300.000   -5.308e-06    1.143e-14   -7.123e-07    0.000e+00    0
 27.500   0.400  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   2.000 300.000   -1.428e-06    2.982e-15   -2.424e-07    0.000e+00    0
 27.500   0.400  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   3.000 300.000   -2.083e-06    1.482e-14   -3.442e-07    0.000e+00    0
 27.500   0.400   5.000 300.000   -3.317e-06    1.469e-15   -5.086e-07    0.000e+00    0
 30.000   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   2.000 300.000   -9.282e-07    7.274e-16   -1.519e-07    0.000e+00    0
 30.000   0.300  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   2.000 300.000   -9.374e-07    1.891e-15   -1.495e-07    0.000e+00    0
 30.000   0.400  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.400   3.000 300.000   -1.387e-06    1.405e-14   -2.159e-07    0.000e+00    0
 30.000   0.400   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
