% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 7 2016, 13:27
% Dimension:          1
% Nodes:              49
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         70.25409125082795
6.944462774532903E-7      1131.3032466183263
1.4695221924283923E-6     2194.2416156132845
1.8455210037809803E-6     2684.1940839298413
2.5945175098080256E-6     3582.697646459107
2.968638851633396E-6      4001.203690968082
3.260226423593787E-6      4339.089151662394
4.050704037239967E-6      5219.443579122736
5.883587686142618E-6      7084.076094114124
7.066527497961557E-6      8178.229631597383
8.011979605288883E-6      8991.187805414347
9.180941975000877E-6      9968.747186988701
1.3881964957734243E-5     13246.28636987902
1.5575331750679973E-5     14257.24214863098
1.6505330125610593E-5     14779.688070920356
2.1140196943212993E-5     17210.898634241912
2.2588807199980293E-5     17898.51407033969
2.356325718715418E-5      18343.265851443404
2.5177426944836093E-5     19054.442688632193
2.5759037760563707E-5     19305.38132101812
2.80708411174932E-5       20274.826000561272
2.9836689779371357E-5     20968.647329673633
3.3266836041572374E-5     22254.70412279405
3.9679393780601094E-5     24425.39922331149
4.4048246186825695E-5     25765.39289039881
5.509361681557579E-5      28819.585336990553
5.6283246501915406E-5     29115.748142632965
5.752218066727045E-5      29421.345635965543
6.596806027998271E-5      31419.52028372345
8.084834969467305E-5      34469.645581881625
8.174801009392522E-5      34638.310359423216
8.203322481440518E-5      34691.51591939632
9.293391591567424E-5      36639.639061738155
1.0769424873102211E-4     39033.120571212006
1.1476469762868116E-4     40073.61426625472
1.3506871575484096E-4     42762.746288464004
1.3799155046124575E-4     43118.02196382966
1.488940201688594E-4      44397.75461516501
1.4996230855977193E-4     44519.62865274351
1.540270961806115E-4      44975.723955939655
1.605817092585664E-4      45671.94853585897
1.7570322782820266E-4     47191.647879377284
1.773325797811993E-4      47348.142037848345
2.1025177383572123E-4     50175.40740241776
2.2781219345390777E-4     51463.34204375766
2.647014440816212E-4      53847.98338947698
2.834943482211865E-4      54886.121138573406
2.9719429292323073E-4     55603.11575010163
3.0E-4                    55737.05604299715
